Quarter,Time,Tm,Detail,JAX,HOU
1.0,6:39,Texans,Mark Ingram 1 yard rush (Joey Slye kick),0,7
,2:25,Texans,David Johnson 7 yard pass from Tyrod Taylor (Joey Slye kick),0,14
2.0,12:20,Jaguars,Chris Manhertz 22 yard pass from Trevor Lawrence (Josh Lambo kick),7,14
,8:07,Texans,Joey Slye 40 yard field goal,7,17
,0:59,Texans,Joey Slye 25 yard field goal,7,20
,0:08,Texans,Danny Amendola 8 yard pass from Tyrod Taylor (Joey Slye kick),7,27
3.0,3:24,Texans,Phillip Lindsay 5 yard rush (Joey Slye kick),7,34
,1:48,Jaguars,DJ Chark 41 yard pass from Trevor Lawrence (Josh Lambo kick),14,34
4.0,11:56,Texans,Joey Slye 25 yard field goal,14,37
,0:05,Jaguars,Marvin Jones 4 yard pass from Trevor Lawrence (Josh Lambo kick),21,37
