Quarter,Time,Tm,Detail,SEA,NYG
1.0,12:28,Seahawks,Ben Obomanu 11 yard pass from Tarvaris Jackson (Stephen Hauschka kick),7,0
,9:08,Giants,Jake Ballard 12 yard pass from Eli Manning (Lawrence Tynes kick),7,7
,3:00,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),14,7
2.0,0:11,Giants,Hakeem Nicks 19 yard pass from Eli Manning (Lawrence Tynes kick),14,14
3.0,7:02,Seahawks,"Safety, Anthony Hargrove tackled D.J. Ware in the end zone.",16,14
4.0,14:28,Seahawks,Stephen Hauschka 51 yard field goal,19,14
,12:37,Giants,Victor Cruz 68 yard pass from Eli Manning (Ahmad Bradshaw run),19,22
,10:15,Seahawks,Stephen Hauschka 43 yard field goal,22,22
,4:49,Giants,Lawrence Tynes 26 yard field goal,22,25
,2:37,Seahawks,Doug Baldwin 27 yard pass from Charlie Whitehurst (Stephen Hauschka kick),29,25
,1:08,Seahawks,Brandon Browner 94 yard interception return (Stephen Hauschka kick),36,25
