Unnamed: 0,SEA,NYG
First Downs,26,21
Rush-Yds-TDs,29-145-1,25-69-0
Cmp-Att-Yd-TD-INT,26-41-315-2-1,24-39-420-3-3
Sacked-Yards,6-36,3-25
Net Pass Yards,279,395
Total Yards,424,464
Fumbles-Lost,3-2,3-2
Turnovers,3,5
Penalties-Yards,10-70,7-52
Third Down Conv.,4-15,1-12
Fourth Down Conv.,1-1,0-0
Time of Possession,28:46,31:14
