Unnamed: 0,MIN,GNB
First Downs,15,20
Rush-Yds-TDs,25-191-1,28-124-1
Cmp-Att-Yd-TD-INT,15-28-136-1-1,22-32-214-2-1
Sacked-Yards,3-11,1-10
Net Pass Yards,125,204
Total Yards,316,328
Fumbles-Lost,2-0,1-1
Turnovers,1,2
Penalties-Yards,6-62,4-25
Third Down Conv.,2-10,7-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:26,30:34
