Unnamed: 0,SFO,NWE
First Downs,19,32
Rush-Yds-TDs,39-180-0,24-95-3
Cmp-Att-Yd-TD-INT,14-25-221-4-1,36-65-443-1-2
Sacked-Yards,1-13,3-18
Net Pass Yards,208,425
Total Yards,388,520
Fumbles-Lost,6-1,2-2
Turnovers,2,4
Penalties-Yards,6-88,8-73
Third Down Conv.,5-14,2-15
Fourth Down Conv.,1-2,5-6
Time of Possession,30:13,29:47
