Quarter,Time,Down,ToGo,Location,SFO,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"David Akers kicks off 63 yards, returned by Devin McCourty for 13 yards (tackle by C.J. Spillman)",0.000,-0.220
1,14:53,1,10,NWE 15,0,0,Tom Brady pass complete short left to Brandon Lloyd for 7 yards (tackle by Tarell Brown),-0.220,0.350
1,14:33,2,3,NWE 22,0,0,Stevan Ridley right tackle for 2 yards (tackle by Carlos Rogers),0.350,-0.270
,,,,,,,"NWE challenged the fumble ruling, and the original play was overturned.",,
1,14:15,3,1,NWE 24,0,0,Stevan Ridley left guard for -2 yards (tackle by Navorro Bowman),-0.270,-1.900
1,13:46,4,3,NWE 22,0,0,"Zoltan Mesko punts 49 yards, returned by Ted Ginn Jr. for 8 yards (tackle by Matt Slater)",-1.900,-1.400
1,13:35,1,10,SFO 37,0,0,Colin Kaepernick pass complete short right to Michael Crabtree for 11 yards (tackle by Aqib Talib),1.400,2.130
1,12:55,1,10,SFO 48,0,0,Colin Kaepernick pass complete short left to Michael Crabtree for 13 yards (tackle by Mike Rivera),2.130,2.980
1,12:15,1,10,NWE 39,0,0,Colin Kaepernick pass complete short left to Randy Moss for 12 yards (tackle by Aqib Talib and Jerod Mayo),2.980,3.780
1,11:32,1,10,NWE 27,0,0,Frank Gore left end for 3 yards (tackle by Jerod Mayo),3.780,3.640
1,11:09,2,7,NWE 24,0,0,Colin Kaepernick pass incomplete short right intended for LaMichael James (defended by Dont'a Hightower),3.640,2.940
1,11:00,3,7,NWE 24,6,0,"Colin Kaepernick pass complete deep left to Randy Moss for 24 yards, touchdown",2.940,7.000
1,11:00,,,NWE 2,7,0,David Akers kicks extra point good,0.000,0.000
1,10:55,,,SFO 35,7,0,"David Akers kicks off 66 yards, returned by Devin McCourty for 26 yards (tackle by Tramaine Brock)",0.000,0.610
1,10:49,1,10,NWE 25,7,0,Tom Brady pass complete deep left to Brandon Lloyd for 23 yards,0.610,2.130
1,10:37,1,10,NWE 48,7,0,Tom Brady pass incomplete short right intended for Stevan Ridley,2.130,1.580
1,10:33,2,10,NWE 48,7,0,Stevan Ridley up the middle for 2 yards (tackle by Justin Smith and Ahmad Brooks),1.580,1.160
1,9:59,3,8,,7,0,Tom Brady pass incomplete short left intended for Wes Welker,1.160,-0.060
1,9:54,4,8,,7,0,"Zoltan Mesko punts 42 yards, fair catch by Ted Ginn Jr.",-0.060,0.380
1,9:48,1,10,SFO 8,7,0,Frank Gore right guard for 4 yards (tackle by Steve Gregory and Rob Ninkovich),-0.380,-0.490
1,9:13,2,6,SFO 12,7,0,Frank Gore right tackle for 5 yards (tackle by Dont'a Hightower and Vince Wilfork),-0.490,-0.370
1,8:43,3,1,SFO 17,7,0,"Colin Kaepernick for no gain. Colin Kaepernick fumbles, recovered by Colin Kaepernick at SFO-14",-0.370,-2.470
1,8:25,4,4,SFO 14,7,0,"Andy Lee punts 56 yards, returned by Wes Welker for 18 yards (tackle by Navorro Bowman). Penalty on Mike Rivera: Offensive Holding, 10 yards",-2.470,-0.280
1,8:02,1,10,NWE 20,7,0,Tom Brady pass incomplete deep right intended for Wes Welker is intercepted by Carlos Rogers at SFO-42 and returned for 53 yards (tackle by Tom Brady),0.280,-6.060
1,7:42,1,5,NWE 5,7,0,Colin Kaepernick pass incomplete short left intended for Michael Crabtree,6.060,5.150
1,7:39,2,5,NWE 5,7,0,"Colin Kaepernick pass complete short right to Delanie Walker for -5 yards (tackle by Steve Gregory). Delanie Walker fumbles (forced by Steve Gregory), recovered by Aqib Talib at NWE-10 (tackle by Delanie Walker)",5.150,0.380
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
1,7:31,1,10,NWE 10,7,0,Stevan Ridley left guard for 5 yards (tackle by Ray McDonald),-0.380,-0.350
1,7:04,2,5,NWE 15,7,0,Stevan Ridley left guard for 2 yards (tackle by Navorro Bowman),-0.350,-0.600
1,6:27,3,3,NWE 17,7,0,Tom Brady pass incomplete short left intended for Aaron Hernandez,-0.600,-2.320
1,6:24,4,3,NWE 17,7,0,"Zoltan Mesko punts 49 yards, returned by Ted Ginn Jr. for 7 yards (tackle by Michael Hoomanawanui)",-2.320,-1.660
1,6:13,1,10,SFO 41,7,0,LaMichael James left end for 4 yards (tackle by Dont'a Hightower),1.660,1.660
1,5:34,2,6,SFO 45,7,0,"Colin Kaepernick for no gain. Colin Kaepernick fumbles, recovered by Frank Gore at SFO-41",1.660,0.430
1,4:48,3,10,SFO 41,7,0,Colin Kaepernick pass incomplete deep left intended for Michael Crabtree. Penalty on Michael Crabtree: Illegal Touch Pass (Declined),0.430,-0.650
1,4:43,4,10,SFO 41,7,0,Dashon Goldson left end for 31 yards (tackle by Wes Welker),-0.650,3.710
1,3:56,1,10,NWE 28,7,0,Frank Gore left guard for no gain (tackle by Brandon Spikes),3.710,3.170
1,3:21,2,10,NWE 28,7,0,LaMichael James left end for 3 yards (tackle by Alfonzo Dennard),3.170,2.870
1,2:55,3,7,NWE 25,7,0,Frank Gore up the middle for 4 yards (tackle by Vince Wilfork and Jerod Mayo),2.870,2.160
1,2:19,4,3,NWE 21,7,0,David Akers 39 yard field goal no good,2.160,-0.940
1,2:14,1,10,NWE 30,7,0,Tom Brady pass complete short left to Danny Woodhead for 7 yards (tackle by Tarell Brown),0.940,1.340
1,1:48,2,3,NWE 37,7,0,"Penalty on Logan Mankins: False Start, 5 yards (no play)",1.340,0.660
1,1:43,2,8,NWE 32,7,0,Tom Brady pass complete short left to Danny Woodhead for -3 yards (tackle by Patrick Willis),0.660,-0.430
1,1:09,3,11,NWE 29,7,0,"Tom Brady pass complete short right to Shane Vereen for 4 yards (tackle by Navorro Bowman). Shane Vereen fumbles (forced by Navorro Bowman), recovered by Chris Culliver at NWE-34",-0.430,-3.310
1,1:00,1,10,NWE 34,7,0,Colin Kaepernick pass incomplete deep left intended for Vernon Davis,3.310,2.770
1,0:55,2,10,NWE 34,7,0,Frank Gore left end for 9 yards (tackle by Aqib Talib),2.770,3.270
1,0:22,3,1,NWE 25,7,0,Frank Gore left guard for no gain (tackle by Kyle Love and Aqib Talib),3.270,1.950
Quarter,Time,Down,ToGo,Location,SFO,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,NWE 25,7,0,"Colin Kaepernick for no gain. Colin Kaepernick fumbles, recovered by Colin Kaepernick at NWE-25",1.950,-0.610
2,14:55,1,10,NWE 25,7,0,Stevan Ridley right guard for 1 yard (tackle by Navorro Bowman and Patrick Willis),0.610,0.200
2,14:21,2,9,NWE 26,7,0,Tom Brady pass complete short left to Brandon Lloyd for 10 yards (tackle by Navorro Bowman),0.200,1.330
2,13:41,1,10,NWE 36,7,0,Tom Brady pass incomplete short left intended for Aaron Hernandez,1.330,0.790
2,13:37,2,10,NWE 36,7,0,Danny Woodhead left tackle for 10 yards (tackle by Navorro Bowman and Tarell Brown),0.790,1.990
2,13:09,1,10,NWE 46,7,0,Tom Brady pass complete short left to Danny Woodhead for 6 yards (tackle by Tarell Brown),1.990,2.260
2,12:38,2,4,SFO 48,7,0,Tom Brady pass complete short right to Aaron Hernandez for 10 yards (tackle by Chris Culliver),2.260,3.050
2,12:14,1,10,SFO 38,7,0,Danny Woodhead up the middle for 3 yards (tackle by Ricky Jean-Francois),3.050,2.910
2,11:50,2,7,SFO 35,7,0,Tom Brady pass incomplete deep middle intended for Deion Branch,2.910,2.210
2,11:43,3,7,SFO 35,7,0,Tom Brady pass complete short left to Aaron Hernandez for 3 yards (tackle by Patrick Willis and Perrish Cox),2.210,0.000
2,10:59,,,,7,0,Timeout #1 by New England Patriots,0.000,1.270
2,10:59,4,4,SFO 32,7,0,Tom Brady pass complete short middle to Deion Branch for 9 yards (tackle by Dashon Goldson),1.270,4.040
2,10:28,1,10,SFO 23,7,0,Danny Woodhead up the middle for 9 yards (tackle by Navorro Bowman),4.040,4.950
2,10:06,2,1,SFO 14,7,0,Danny Woodhead left guard for 4 yards (tackle by Ray McDonald),4.950,4.910
2,9:33,1,10,SFO 10,7,0,Danny Woodhead up the middle for 3 yards (tackle by Justin Smith),4.910,4.760
2,8:56,2,7,SFO 7,7,0,Tom Brady pass incomplete short right intended for Stevan Ridley,4.760,3.810
2,8:51,3,7,SFO 7,7,0,Tom Brady sacked by Ray McDonald for -6 yards,3.810,2.570
2,8:35,4,13,SFO 13,7,3,Stephen Gostkowski 32 yard field goal good,2.570,3.000
2,8:31,,,NWE 35,7,3,"Stephen Gostkowski kicks off 61 yards, returned by LaMichael James for 16 yards (tackle by Mike Rivera)",0.000,0.280
2,8:26,1,10,SFO 20,7,3,"Colin Kaepernick pass incomplete deep left intended for Michael Crabtree. Penalty on Aqib Talib: Defensive Pass Interference, 35 yards (no play)",0.280,2.590
2,8:20,1,10,NWE 45,7,3,Frank Gore left guard for 8 yards (tackle by Brandon Spikes),2.590,3.120
2,7:46,2,2,NWE 37,7,3,Frank Gore up the middle for 3 yards (tackle by Jerod Mayo),3.120,3.310
2,7:06,1,10,NWE 34,13,3,"Colin Kaepernick pass complete deep right to Delanie Walker for 34 yards, touchdown",3.310,7.000
2,7:06,,,NWE 2,14,3,David Akers kicks extra point good,0.000,0.000
2,6:59,,,SFO 35,14,3,"David Akers kicks off 64 yards, returned by Devin McCourty for 17 yards (tackle by Michael Wilhoite)",0.000,0.040
2,6:54,1,10,NWE 18,14,3,Stevan Ridley up the middle for 4 yards (tackle by Donte Whitner),0.040,0.140
2,6:25,2,6,NWE 22,14,3,Tom Brady pass incomplete short right intended for Brandon Lloyd,0.140,-0.660
2,6:20,3,6,NWE 22,14,3,Tom Brady pass incomplete short right intended for Brandon Lloyd,-0.660,-1.900
2,6:16,4,6,NWE 22,14,3,"Zoltan Mesko punts 46 yards. Penalty on Michael Wilhoite: Offensive Holding, 10 yards",-1.900,-0.410
,,,,,,,"NWE challenged the kick touched ruling, and the play was upheld.",,
2,6:04,1,10,SFO 22,14,3,Colin Kaepernick pass incomplete deep left intended for Michael Crabtree (defended by Steve Gregory),0.410,-0.130
2,5:57,2,10,SFO 22,14,3,Frank Gore right guard for 7 yards (tackle by Chandler Jones),-0.130,0.100
2,5:22,3,3,SFO 29,14,3,Colin Kaepernick pass complete short right to Michael Crabtree for 8 yards (tackle by Justin Francis),0.100,1.400
2,4:49,1,10,SFO 37,14,3,Frank Gore left tackle for 15 yards (tackle by Jerod Mayo),1.400,2.390
2,4:13,1,10,NWE 48,14,3,Frank Gore left tackle for 2 yards (tackle by Dont'a Hightower and Jerod Mayo),2.390,2.120
2,3:33,2,8,NWE 46,14,3,Colin Kaepernick pass complete short right to Vernon Davis for 10 yards (tackle by Dont'a Hightower and Devin McCourty),2.120,3.180
2,2:42,1,10,NWE 36,14,3,Colin Kaepernick pass incomplete deep middle intended for Vernon Davis,3.180,2.640
2,2:36,2,10,NWE 36,14,3,LaMichael James left end for 2 yards (tackle by Jerod Mayo),2.640,2.210
2,2:00,3,8,NWE 34,14,3,Colin Kaepernick right tackle for 19 yards (tackle by Kyle Arrington),2.210,4.580
2,1:15,1,10,NWE 15,14,3,Colin Kaepernick pass incomplete short left intended for Randy Moss,4.580,3.950
2,1:10,2,10,NWE 15,14,3,Frank Gore up the middle for 4 yards (tackle by Kyle Love and Brandon Spikes),3.950,0.000
2,0:25,,,,14,3,Timeout #1 by San Francisco 49ers,0.000,3.780
2,0:25,3,6,NWE 11,14,3,Frank Gore up the middle for 7 yards (tackle by Dont'a Hightower),3.780,0.000
2,0:18,,,,14,3,Timeout #2 by San Francisco 49ers,0.000,6.280
