Quarter,Time,Down,ToGo,Location,WAS,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 61 yards, returned by Antonio Brown for 22 yards (tackle by Corey Ivy)",0.000,1.000
1,14:55,1,10,WAS 31,0,0,Clinton Portis right guard for 8 yards (tackle by Trev Faulk and Jerome Carter),1.000,1.540
1,14:18,2,2,WAS 39,0,0,Clinton Portis left tackle for 4 yards (tackle by Damione Lewis),1.540,1.800
1,13:39,1,10,WAS 43,0,0,Mark Brunell pass incomplete intended for Taylor Jacobs (defended by Dexter Coakley),1.800,1.250
1,13:34,2,10,WAS 43,0,0,Clinton Portis right tackle for 8 yards (tackle by Brandon Chillar),1.250,1.620
1,13:00,3,2,STL 49,0,0,Mark Brunell pass incomplete intended for Santana Moss (defended by Corey Ivy),1.620,0.000
1,12:53,4,2,STL 49,0,0,"Derrick Frost punts 31 yards, returned by David Allen for 2 yards (tackle by Matt Bowen)",0.000,-0.280
1,12:45,1,10,STL 20,0,0,Ryan Fitzpatrick pass complete to Cam Cleeland for -7 yards (tackle by LaVar Arrington),0.280,-1.280
1,12:08,2,17,STL 13,0,0,Steven Jackson left tackle for -2 yards (tackle by Phillip Daniels),-1.280,-2.470
1,11:30,3,19,STL 11,0,0,Ryan Fitzpatrick sacked by Marcus Washington for -10 yards,-2.470,-2.490
1,11:23,4,29,STL 1,0,0,Bryan Barker punts 47 yards,-2.490,-2.390
1,11:15,1,10,STL 48,0,0,Clinton Portis up the middle for 1 yard (tackle by Leonard Little),2.390,1.980
1,10:38,2,9,STL 47,6,0,"Clinton Portis right end for 47 yards, touchdown",1.980,7.000
1,,,,STL 2,7,0,John Hall kicks extra point good,0.000,0.000
1,,,,WAS 30,7,0,"John Hall kicks off 64 yards, returned by David Allen for 23 yards (tackle by Rock Cartwright)",0.000,0.870
1,10:22,1,10,STL 29,7,0,Steven Jackson left tackle for 3 yards (tackle by Phillip Daniels),0.870,0.730
1,9:49,2,7,STL 32,7,0,Steven Jackson right guard for 3 yards (tackle by Phillip Daniels),0.730,0.430
1,9:08,3,4,STL 35,7,0,Ryan Fitzpatrick left end for 6 yards (tackle by Lemar Marshall),0.430,1.660
1,8:22,1,10,STL 41,7,0,Ryan Fitzpatrick pass complete to Madison Hedgecock for 5 yards (tackle by Shawn Springs),1.660,1.800
1,7:43,2,5,STL 46,7,0,Ryan Fitzpatrick pass incomplete intended for Isaac Bruce,1.800,1.090
1,7:34,3,5,STL 46,7,0,Ryan Fitzpatrick sacked by Pierson Prioleau for -3 yards,1.090,-0.520
1,7:26,4,8,STL 43,7,0,"Bryan Barker punts 49 yards, returned by Antonio Brown for 16 yards (tackle by Chris Massey)",-0.520,-0.540
1,7:13,1,10,WAS 24,7,0,Clinton Portis up the middle for 1 yard (tackle by Chris Claiborne),0.540,0.130
1,6:39,2,9,WAS 25,7,0,Mark Brunell pass incomplete intended for Taylor Jacobs,0.130,-0.560
1,6:29,3,9,WAS 25,7,0,Mark Brunell pass incomplete intended for Santana Moss (defended by Corey Ivy),-0.560,-1.700
1,6:21,4,9,WAS 25,7,0,"Derrick Frost punts 51 yards, returned by David Allen for no gain. Penalty on Brandon Chillar: Offensive Holding, 10 yards",-1.700,0.280
