Unnamed: 0,WAS,STL
First Downs,19,13
Rush-Yds-TDs,40-257-2,17-49-1
Cmp-Att-Yd-TD-INT,14-22-156-1-0,21-36-163-0-1
Sacked-Yards,1-6,3-21
Net Pass Yards,150,142
Total Yards,407,191
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,8-76,4-30
Third Down Conv.,8-14,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,33:58,26:02
