Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,CHI,14,79,0,4,41,2.9,38,2.7,6,2.3
Darrynton Evans,CHI,9,34,0,2,25,2.8,9,1.0,0,
Trevor Siemian,CHI,4,8,0,1,8,2.0,0,0.0,0,
Velus Jones Jr.,CHI,2,6,0,,5,2.5,1,0.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Zonovan Knight,NYJ,14,69,0,4,48,3.4,21,1.5,2,7.0
Michael Carter,NYJ,6,21,0,,14,2.3,7,1.2,1,6.0
Ty Johnson,NYJ,5,62,1,2,16,3.2,46,9.2,5,1.0
Mike White,NYJ,3,2,0,1,2,0.7,0,0.0,0,
Braxton Berrios,NYJ,2,9,0,1,7,3.5,2,1.0,0,
Elijah Moore,NYJ,1,-4,0,0,-4,-4.0,0,0.0,0,
Garrett Wilson,NYJ,1,-1,0,0,-1,-1.0,0,0.0,0,
