Quarter,Time,Tm,Detail,CHI,NYJ
1.0,10:12,Jets,Garrett Wilson 8 yard pass from Mike White (Greg Zuerlein kick),0,7
,5:59,Bears,Cairo Santos 22 yard field goal,3,7
2.0,14:20,Bears,Byron Pringle 4 yard pass from Trevor Siemian (Cairo Santos kick),10,7
,4:57,Jets,Garrett Wilson 54 yard pass from Mike White (Greg Zuerlein kick),10,14
,0:12,Jets,Greg Zuerlein 57 yard field goal,10,17
3.0,6:35,Jets,Elijah Moore 22 yard pass from Mike White (Greg Zuerlein kick),10,24
,2:28,Jets,Ty Johnson 32 yard rush (Greg Zuerlein kick),10,31
