Unnamed: 0,CHI,NYJ
First Downs,14,22
Rush-Yds-TDs,29-127-0,32-158-1
Cmp-Att-Yd-TD-INT,14-25-179-1-1,22-29-315-3-0
Sacked-Yards,2-14,1-7
Net Pass Yards,165,308
Total Yards,292,466
Fumbles-Lost,2-0,2-0
Turnovers,1,0
Penalties-Yards,1-10,1-5
Third Down Conv.,4-13,7-12
Fourth Down Conv.,2-3,0-1
Time of Possession,27:55,32:05
