Unnamed: 0,NOR,DET
First Downs,32,15
Rush-Yds-TDs,30-181-4,27-129-1
Cmp-Att-Yd-TD-INT,30-40-351-2-0,11-26-137-0-2
Sacked-Yards,0-0,2-11
Net Pass Yards,351,126
Total Yards,532,255
Fumbles-Lost,2-1,1-0
Turnovers,1,2
Penalties-Yards,3-12,6-35
Third Down Conv.,11-12,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,34:29,25:31
