Quarter,Time,Tm,Detail,NOR,DET
1.0,12:23,Saints,Robert Meachem 20 yard rush (Garrett Hartley kick),7,0
,1:07,Saints,Deuce McAllister 2 yard rush (Garrett Hartley kick),14,0
2.0,9:45,Lions,Kevin Smith 1 yard rush (Jason Hanson kick),14,7
,4:40,Saints,Mike Bell 1 yard rush (Garrett Hartley kick),21,7
,0:47,Saints,Pierre Thomas 2 yard rush (Garrett Hartley kick),28,7
3.0,9:33,Saints,Marques Colston 6 yard pass from Drew Brees (Garrett Hartley kick),35,7
,3:04,Saints,Marques Colston 3 yard pass from Drew Brees (Garrett Hartley kick),42,7
