Unnamed: 0,NYG,SFO
First Downs,19,21
Rush-Yds-TDs,23-114-0,33-186-2
Cmp-Att-Yd-TD-INT,28-37-273-2-0,19-25-288-2-1
Sacked-Yards,3-13,0-0
Net Pass Yards,260,288
Total Yards,374,474
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,4-35,6-44
Third Down Conv.,5-14,8-12
Fourth Down Conv.,3-3,0-1
Time of Possession,31:00,29:00
