Quarter,Time,Tm,Detail,NYG,SFO
1.0,12:40,49ers,Robbie Gould 43 yard field goal,0,3
,7:23,Giants,Aldrick Rosas 47 yard field goal,3,3
,1:07,Giants,Aldrick Rosas 42 yard field goal,6,3
2.0,7:59,49ers,Marquise Goodwin 83 yard pass from C.J. Beathard (Robbie Gould kick),6,10
,2:08,Giants,Evan Engram 9 yard pass from Eli Manning (Aldrick Rosas kick),13,10
,0:28,49ers,Garrett Celek 47 yard pass from C.J. Beathard (Robbie Gould kick),13,17
4.0,14:53,49ers,C.J. Beathard 11 yard rush (Robbie Gould kick),13,24
,9:19,49ers,Matt Breida 33 yard rush (Robbie Gould kick),13,31
,1:02,Giants,Roger Lewis 14 yard pass from Eli Manning (Orleans Darkwa run),21,31
