Quarter,Time,Down,ToGo,Location,HOU,SEA,Detail,EPB,EPA
1,10:08,,,SEA 35,7,7,"Blair Walsh kicks off 63 yards, returned by Chris Thompson for 16 yards (tackle by Tre Madden)",0.000,-0.040
1,10:02,1,10,HOU 18,7,7,Deshaun Watson right end for 6 yards (tackle by Bobby Wagner),0.040,0.410
1,9:32,2,4,HOU 24,7,7,Deshaun Watson pass complete short right to Will Fuller for 5 yards (tackle by Shaquill Griffin),0.410,0.000
1,8:55,,,,,,Timeout #2 by Houston Texans,0.000,-0.870
1,8:55,1,10,HOU 29,7,7,Lamar Miller left guard for 4 yards (tackle by K.J. Wright and Nazair Jones),0.870,0.870
1,8:24,2,6,HOU 33,7,7,Deshaun Watson pass complete short left to DeAndre Hopkins for 6 yards (tackle by Kam Chancellor),0.870,1.530
1,7:48,1,10,HOU 39,7,7,Deshaun Watson pass complete deep left to DeAndre Hopkins for 20 yards (tackle by K.J. Wright),1.530,2.850
1,7:25,1,10,SEA 41,7,7,Lamar Miller left tackle for 3 yards (tackle by Bobby Wagner),2.850,2.710
1,6:41,2,7,SEA 38,7,7,"Deshaun Watson pass incomplete deep middle intended for Will Fuller. Penalty on Jeremy Lane: Defensive Pass Interference, 22 yards (no play)",2.710,4.510
1,6:36,1,10,SEA 16,7,7,Lamar Miller right tackle for 13 yards (tackle by K.J. Wright),4.510,6.510
1,6:12,1,3,SEA 3,13,7,"Lamar Miller right tackle for 3 yards, touchdown",6.510,7.000
1,6:08,,,SEA 15,14,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,6:08,,,HOU 35,14,7,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
1,6:08,1,10,SEA 25,14,7,Russell Wilson pass complete short right to Doug Baldwin for 6 yards (tackle by Johnathan Joseph),0.610,0.870
1,5:42,2,4,SEA 31,14,7,Eddie Lacy middle for 3 yards (tackle by Andre Hal and Brennan Scarlett),0.870,0.560
1,5:03,3,1,SEA 34,14,7,Russell Wilson pass complete deep left to Tyler Lockett for 27 yards (tackle by Kareem Jackson),0.560,2.980
1,4:25,1,10,HOU 39,14,7,J.D. McKissic middle for 3 yards (tackle by Christian Covington),2.980,2.850
1,3:48,2,7,HOU 36,14,7,Russell Wilson pass complete short right to Tyler Lockett for 5 yards (tackle by Johnathan Joseph),2.850,2.810
1,3:15,3,2,HOU 31,14,7,"Russell Wilson sacked by Jadeveon Clowney for -10 yards. Russell Wilson fumbles (forced by Jadeveon Clowney), recovered by Luke Willson at HOU-20. Luke Willson fumbles (forced by Jadeveon Clowney), recovered by Luke Willson at HOU-20",2.810,4.240
,,,,,,,"SEA challenged the incomplete pass ruling, and the original play was overturned.",,
1,2:56,1,10,HOU 20,14,7,Eddie Lacy left tackle for no gain (tackle by Zach Cunningham and D.J. Reader),4.240,3.690
1,2:19,2,10,HOU 20,14,13,"Russell Wilson pass complete deep middle to Paul Richardson for 20 yards, touchdown",3.690,7.000
1,2:11,,,HOU 15,14,14,Blair Walsh kicks extra point good,0.000,0.000
1,2:11,,,SEA 35,14,14,"Blair Walsh kicks off 65 yards, returned by Chris Thompson for 25 yards (tackle by J.D. McKissic)",0.000,-0.610
1,2:05,1,10,HOU 25,14,14,Alfred Blue left guard for 4 yards (tackle by Jarran Reed),0.610,0.600
1,1:32,2,6,HOU 29,14,14,Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins (defended by Shaquill Griffin),0.600,-0.100
1,1:28,3,6,HOU 29,14,14,Deshaun Watson sacked by Michael Bennett for -4 yards,-0.100,-1.700
1,0:55,4,10,HOU 25,14,14,"Shane Lechler punts 46 yards, returned by Tyler Lockett for -1 yards (tackle by Jordan Todman). Penalty on Chris Thompson: Unsportsmanlike Conduct, 15 yards",-1.700,-1.800
1,0:47,1,10,SEA 43,14,14,J.D. McKissic left guard for -4 yards (tackle by Jadeveon Clowney),1.800,0.710
1,0:05,2,14,SEA 39,14,14,Russell Wilson pass incomplete short middle intended for Doug Baldwin,0.710,0.040
Quarter,Time,Down,ToGo,Location,HOU,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,SEA 39,14,14,Russell Wilson pass incomplete,0.040,-0.780
2,14:50,4,14,SEA 39,14,14,"Jon Ryan punts 41 yards (tackle by Bradley McDougald). Penalty on Marcus Williams: Offensive Holding, 10 yards",-0.780,0.140
2,14:40,1,10,HOU 16,14,14,Deshaun Watson pass complete short right to Stephen Anderson for 11 yards (tackle by K.J. Wright),-0.140,0.740
2,14:15,1,10,HOU 27,14,14,Lamar Miller middle for -2 yards (tackle by Nazair Jones),0.740,-0.070
2,13:42,2,12,HOU 25,14,14,Deshaun Watson middle for 18 yards (tackle by Bobby Wagner),-0.070,1.800
2,13:07,1,10,HOU 43,14,14,Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins,1.800,1.250
2,13:01,2,10,HOU 43,14,14,Lamar Miller middle for 4 yards (tackle by Kam Chancellor),1.250,1.090
2,12:20,3,6,HOU 47,14,14,Deshaun Watson left end for 5 yards (tackle by Earl Thomas),1.090,0.070
2,11:34,4,1,SEA 48,14,14,Lamar Miller middle for 2 yards (tackle by Frank Clark and Kam Chancellor),0.070,2.520
2,10:55,1,10,SEA 46,14,14,Deshaun Watson pass incomplete deep left intended for Bruce Ellington,2.520,1.980
2,10:49,2,10,SEA 46,14,14,Deshaun Watson pass complete deep right to DeAndre Hopkins for 24 yards (tackle by Earl Thomas),1.980,4.110
2,10:16,1,10,SEA 22,14,14,Lamar Miller right guard for 2 yards (tackle by Marcus Smith and Jarran Reed),4.110,3.830
2,9:40,2,8,SEA 20,20,14,"Deshaun Watson pass complete deep right to Will Fuller for 20 yards, touchdown",3.830,7.000
2,9:34,,,SEA 15,21,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,9:34,,,HOU 35,21,14,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
2,9:34,1,10,SEA 25,21,14,Eddie Lacy left tackle for -6 yards (tackle by Kareem Jackson),0.610,-0.810
2,8:52,2,16,SEA 19,21,14,Russell Wilson pass complete short right to Doug Baldwin for 13 yards (tackle by Kareem Jackson and Johnathan Joseph),-0.810,0.300
2,8:08,3,3,SEA 32,21,14,Russell Wilson pass complete short right to J.D. McKissic for 6 yards (tackle by Eddie Pleasant),0.300,1.470
2,7:30,1,10,SEA 38,21,14,Eddie Lacy left guard for 2 yards (tackle by Benardrick McKinney),1.470,1.190
2,6:54,2,8,SEA 40,21,14,Russell Wilson pass complete deep right to Tanner McEvoy for 53 yards (tackle by Kevin Johnson),1.190,5.600
2,6:07,1,7,HOU 7,21,20,"Russell Wilson pass complete short left to Paul Richardson for 7 yards, touchdown",5.600,7.000
2,6:02,,,HOU 15,21,21,Blair Walsh kicks extra point good,0.000,0.000
2,6:02,,,SEA 35,21,21,"Blair Walsh kicks off 68 yards, returned by Chris Thompson for 16 yards (tackle by Tanner McEvoy). Chris Thompson fumbles, recovered by Chris Thompson at HOU-13",0.000,0.320
2,5:57,1,10,HOU 13,21,21,Lamar Miller middle for -3 yards (tackle by Michael Bennett),-0.320,-1.000
2,5:20,2,13,HOU 10,21,21,Deshaun Watson for 8 yards (tackle by Bobby Wagner),-1.000,-0.830
2,4:42,3,5,HOU 18,21,21,Deshaun Watson pass incomplete short left intended for Bruce Ellington (defended by Shaquill Griffin),-0.830,-2.240
2,4:36,4,5,HOU 18,21,21,"Shane Lechler punts 51 yards, returned by Tyler Lockett for no gain. Penalty on Michael Wilhoite: Offensive Holding, 10 yards",-2.240,-0.340
2,4:25,1,10,SEA 21,21,21,Thomas Rawls left tackle for 3 yards (tackle by Benardrick McKinney and D.J. Reader),0.340,0.210
2,3:55,2,7,SEA 24,21,21,Russell Wilson pass incomplete,0.210,-0.490
2,3:50,3,7,SEA 24,21,21,"Russell Wilson pass incomplete deep left intended for Doug Baldwin. Penalty on Zach Cunningham: Roughing the Passer, 15 yards (no play)",-0.490,1.530
2,3:45,1,10,SEA 39,21,21,"Russell Wilson pass incomplete. Penalty on Germain Ifedi: Offensive Holding, 10 yards (no play)",1.530,0.870
2,3:37,1,20,SEA 29,21,21,Thomas Rawls middle for -1 yards (tackle by Lamarr Houston),0.870,-0.500
2,2:58,2,21,SEA 28,21,21,"Russell Wilson pass complete short right to Tyler Lockett for 12 yards (tackle by Marcus Williams). Penalty on Germain Ifedi: Unnecessary Roughness, 15 yards",-0.500,-1.550
2,2:25,3,24,SEA 25,21,21,Russell Wilson pass complete short left to Doug Baldwin for 11 yards (tackle by Kareem Jackson),-1.550,-0.980
2,2:00,4,13,SEA 36,21,21,"Jon Ryan punts 50 yards, fair catch by Will Fuller",-0.980,0.280
2,1:53,1,10,HOU 14,21,21,Deshaun Watson left end for 5 yards (tackle by Kam Chancellor),-0.280,-0.040
2,1:17,2,5,HOU 19,21,21,Deshaun Watson pass complete deep left to DeAndre Hopkins for 22 yards (tackle by K.J. Wright),-0.040,1.660
2,0:48,1,10,HOU 41,21,21,Deshaun Watson sacked by Dwight Freeney for -6 yards,1.660,0.000
2,0:38,,,,,,Timeout #3 by Houston Texans,0.000,-0.310
2,0:38,2,16,HOU 35,21,21,Deshaun Watson pass complete short middle to Lamar Miller for 9 yards (tackle by Bobby Wagner),0.310,0.830
2,0:16,3,7,HOU 44,21,21,Deshaun Watson pass incomplete deep right intended for Will Fuller,0.830,-0.460
2,0:10,4,7,HOU 44,21,21,"Shane Lechler punts 45 yards, out of bounds",-0.460,0.370
2,0:04,1,10,SEA 11,21,21,Russell Wilson kneels for -1 yards,-0.370,-0.850
Quarter,Time,Down,ToGo,Location,HOU,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,21,21,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,SEA 25,21,21,Eddie Lacy middle for 1 yard (tackle by D.J. Reader and Lamarr Houston),0.610,0.200
3,14:32,2,9,SEA 26,21,21,Russell Wilson pass complete short left to Paul Richardson for 6 yards (tackle by Kevin Johnson),0.200,0.300
3,13:56,3,3,SEA 32,21,21,Russell Wilson pass complete short left to Doug Baldwin for 13 yards (tackle by Eddie Pleasant),0.300,1.930
3,13:35,1,10,SEA 45,21,21,J.D. McKissic right end for 3 yards (tackle by Ufomba Kamalu and D.J. Reader),1.930,1.790
3,12:59,2,7,SEA 48,21,21,Eddie Lacy right end for no gain (tackle by Benardrick McKinney),1.790,1.090
3,12:14,3,7,SEA 48,21,21,Russell Wilson sacked by Ufomba Kamalu for -6 yards,1.090,-0.590
3,11:34,4,13,SEA 42,21,21,Jon Ryan punts 44 yards (tackle by Tyler Ott),-0.590,-0.540
3,11:24,1,10,HOU 24,21,21,Deshaun Watson pass complete deep right to DeAndre Hopkins for 19 yards (tackle by Earl Thomas),0.540,1.800
3,11:05,1,10,HOU 43,21,21,"Deshaun Watson pass complete short left to Lamar Miller for 8 yards (tackle by Bobby Wagner). Penalty on Bobby Wagner: Horse Collar Tackle, 15 yards, Penalty on Jarran Reed: Illegal Use of Hands (Declined)",1.800,3.310
3,10:38,1,10,SEA 34,21,21,Alfred Blue right guard for 5 yards (tackle by K.J. Wright),3.310,3.450
3,10:05,2,5,SEA 29,21,21,Deshaun Watson sacked by Frank Clark for -9 yards. Penalty on Ryan Griffin: Offensive Holding (Declined),3.450,0.000
3,9:41,,,,,,Timeout #1 by Houston Texans,0.000,-1.550
3,9:41,3,14,SEA 38,21,21,Deshaun Watson right end for 14 yards (tackle by K.J. Wright and Richard Sherman),1.550,3.970
3,8:52,1,10,SEA 24,21,21,Lamar Miller right tackle for 11 yards (tackle by Bobby Wagner and Earl Thomas),3.970,4.710
3,8:17,1,10,SEA 13,21,21,Deshaun Watson pass incomplete short right intended for Bruce Ellington,4.710,4.050
3,8:09,2,10,SEA 13,21,21,"Lamar Miller left tackle for 2 yards (tackle by Michael Wilhoite). Penalty on Nick Martin: Offensive Holding, 10 yards (no play)",4.050,2.810
3,7:54,2,20,SEA 23,21,21,Deshaun Watson pass incomplete deep left intended for Ryan Griffin,2.810,2.150
3,7:48,3,20,SEA 23,21,21,Deshaun Watson pass complete short middle to Ryan Griffin for 10 yards (tackle by K.J. Wright and Richard Sherman),2.150,2.570
3,7:08,4,10,SEA 13,24,21,Ka'imi Fairbairn 31 yard field goal good,2.570,3.000
3,7:05,,,HOU 35,24,21,"Ka'imi Fairbairn kicks off 64 yards, returned by Tyler Lockett for 21 yards (tackle by Corey Moore)",0.000,-0.410
3,7:01,1,10,SEA 22,24,21,Russell Wilson pass incomplete,0.410,-0.130
3,6:55,2,10,SEA 22,24,21,Russell Wilson pass complete short middle to Tre Madden for 66 yards (tackle by Johnathan Joseph),-0.130,4.780
3,6:06,1,10,HOU 12,24,21,Russell Wilson pass complete short right to Jimmy Graham for 9 yards (tackle by Kevin Johnson and Andre Hal),4.780,5.790
3,5:25,2,1,HOU 3,24,21,Thomas Rawls right tackle for no gain (tackle by Benardrick McKinney and Kevin Johnson),5.790,5.060
3,4:44,3,1,HOU 3,24,21,Russell Wilson pass incomplete short left intended for Thomas Rawls,5.060,3.060
3,4:39,4,1,HOU 3,24,24,Blair Walsh 21 yard field goal good,3.060,3.000
3,4:36,,,SEA 35,24,24,"Blair Walsh kicks off 62 yards, returned by Chris Thompson for 19 yards (tackle by Tre Madden)",0.000,-0.410
3,4:32,1,10,HOU 22,24,24,Deshaun Watson right tackle for 3 yards (tackle by K.J. Wright),0.410,0.270
3,3:56,2,7,HOU 25,24,24,"Deshaun Watson pass incomplete short right intended for Stephen Anderson is intercepted by Richard Sherman at HOU-35 and returned for 19 yards. Penalty on Duane Brown: Unnecessary Roughness, 8 yards",0.270,-5.370
3,3:45,1,8,HOU 8,24,24,Russell Wilson pass incomplete short middle intended for J.D. McKissic,5.370,4.570
3,3:42,2,8,HOU 8,24,24,"Russell Wilson pass incomplete short right intended for Doug Baldwin. Penalty on Lamarr Houston: Roughing the Passer, 4 yards (no play)",4.570,6.280
3,3:37,1,4,HOU 4,24,24,Thomas Rawls middle for -5 yards (tackle by Jadeveon Clowney),6.280,4.380
3,2:54,2,9,HOU 9,24,24,Russell Wilson pass complete short left to Doug Baldwin for 6 yards,4.380,4.720
3,2:30,3,3,HOU 3,24,24,Russell Wilson pass incomplete short left intended for Jimmy Graham (defended by Kevin Johnson),4.720,3.040
3,2:27,4,3,HOU 3,24,27,Blair Walsh 21 yard field goal good,3.040,3.000
3,2:24,,,SEA 35,24,27,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
3,2:24,1,10,HOU 25,24,27,Alfred Blue middle for 7 yards (tackle by K.J. Wright and Nazair Jones),0.610,1.010
3,1:50,2,3,HOU 32,24,27,Alfred Blue right guard for 3 yards (tackle by K.J. Wright and Bobby Wagner),1.010,1.270
3,1:09,1,10,HOU 35,24,27,Alfred Blue right guard for 2 yards (tackle by Bobby Wagner),1.270,0.990
3,0:37,2,8,HOU 37,24,27,Deshaun Watson sacked by Michael Bennett and Justin Coleman for -6 yards,0.990,-0.490
Quarter,Time,Down,ToGo,Location,HOU,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,HOU 31,24,27,Deshaun Watson pass complete short left to Will Fuller for 5 yards (tackle by Shaquill Griffin),-0.490,-0.980
4,14:28,4,9,HOU 36,24,27,Shane Lechler punts 60 yards,-0.980,0.380
4,14:17,1,10,SEA 4,24,27,Thomas Rawls left tackle for -1 yards (tackle by D.J. Reader),-0.380,-0.850
4,13:34,2,11,SEA 3,24,27,Russell Wilson pass complete short middle to Jimmy Graham for 11 yards (tackle by Marcus Gilchrist),-0.850,-0.280
4,12:49,1,10,SEA 14,24,27,Russell Wilson pass incomplete,-0.280,-0.750
4,12:42,2,10,SEA 14,24,27,Russell Wilson pass complete short right to Doug Baldwin for 5 yards (tackle by Andre Hal),-0.750,-0.800
4,12:02,3,5,SEA 19,24,27,"Penalty on Russell Wilson: False Start, 5 yards (no play)",-0.800,-1.400
4,11:41,3,10,SEA 14,24,27,Russell Wilson pass incomplete deep left intended for Tyler Lockett,-1.400,-2.470
4,11:34,4,10,SEA 14,24,27,"Jon Ryan punts 47 yards, out of bounds. Penalty on Eddie Pleasant: Offensive Holding, 10 yards, Penalty on Ben Heeney: Offensive Holding (Declined)",-2.470,-0.870
4,11:25,1,10,HOU 29,24,27,Deshaun Watson pass complete deep left to DeAndre Hopkins for 34 yards (tackle by Shaquill Griffin),0.870,3.120
4,10:57,1,10,SEA 37,24,27,Lamar Miller right guard for -1 yards (tackle by K.J. Wright),3.120,2.440
4,10:16,2,11,SEA 38,24,27,Deshaun Watson pass complete deep right to Will Fuller for 36 yards,2.440,6.740
4,9:55,1,2,SEA 2,24,27,Lamar Miller right tackle for no gain (tackle by Jarran Reed and Richard Sherman),6.740,5.720
4,9:14,2,2,SEA 2,30,27,"Deshaun Watson pass complete short middle to Lamar Miller for 2 yards, touchdown",5.720,7.000
4,9:09,,,SEA 15,31,27,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,9:09,,,HOU 35,31,27,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
4,9:09,1,10,SEA 25,31,27,Russell Wilson pass incomplete deep middle intended for Luke Willson,0.610,0.060
4,9:04,2,10,SEA 25,31,27,Russell Wilson pass complete deep left to Tyler Lockett for 54 yards (tackle by Marcus Gilchrist),0.060,4.170
4,8:24,1,10,HOU 21,31,27,Tyler Lockett right end for -2 yards (tackle by Lamarr Houston),4.170,3.360
4,7:46,2,12,HOU 23,31,27,Russell Wilson pass complete short left to Tyler Lockett for 4 yards (tackle by Kareem Jackson),3.360,3.180
4,7:08,3,8,HOU 19,31,27,Russell Wilson pass complete short left to Paul Richardson for 9 yards (tackle by Kevin Johnson),3.180,4.910
4,6:30,1,10,HOU 10,31,27,Thomas Rawls middle for 3 yards (tackle by Jadeveon Clowney),4.910,4.760
4,5:51,2,7,HOU 7,31,27,"Russell Wilson pass complete short middle to Paul Richardson for 7 yards. Penalty on Thomas Rawls: Chop Block, 15 yards (no play)",4.760,2.730
4,5:46,2,22,HOU 22,31,27,"Russell Wilson pass incomplete deep middle intended for Doug Baldwin. Penalty on Kareem Jackson: Defensive Pass Interference, 21 yards (no play)",2.730,6.970
4,5:41,1,1,HOU 1,31,33,"Russell Wilson pass complete short right to Jimmy Graham for 1 yard, touchdown",6.970,7.000
4,5:37,,,HOU 15,31,34,Blair Walsh kicks extra point good,0.000,0.000
4,5:37,,,SEA 35,31,34,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
4,5:37,1,10,HOU 25,31,34,Lamar Miller middle for 3 yards (tackle by Jarran Reed),0.610,0.470
4,5:01,2,7,HOU 28,37,34,"Deshaun Watson pass complete short right to DeAndre Hopkins for 72 yards, touchdown. Penalty on Nazair Jones: Roughing the Passer, 15 yards",0.470,7.000
4,4:49,,,SEA 15,38,34,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,4:49,,,,38,34,"Ka'imi Fairbairn kicks off 50 yards, touchback",0.000,-0.610
4,4:49,1,10,SEA 25,38,34,Russell Wilson pass incomplete deep middle intended for Doug Baldwin (defended by Marcus Gilchrist),0.610,0.060
4,4:42,2,10,SEA 25,38,34,Russell Wilson for 11 yards (tackle by Andre Hal),0.060,1.330
4,4:32,1,10,SEA 36,38,34,Russell Wilson pass complete short right to Nick Vannett for 8 yards (tackle by Benardrick McKinney),1.330,1.870
4,3:57,2,2,SEA 44,38,34,Russell Wilson pass complete short left to Paul Richardson for 15 yards (tackle by Marcus Williams),1.870,2.850
4,3:14,1,10,HOU 41,38,34,Russell Wilson pass incomplete short right intended for Tyler Lockett,2.850,2.310
4,3:06,2,10,HOU 41,38,34,Russell Wilson for 21 yards (tackle by Marcus Williams),2.310,4.240
4,2:55,1,10,HOU 20,38,34,Russell Wilson pass incomplete short left intended for Paul Richardson is intercepted by Marcus Williams at HOU-6 and returned for 2 yards,4.240,0.380
4,2:49,1,10,HOU 8,38,34,Lamar Miller right tackle for 4 yards (tackle by Frank Clark),-0.380,-0.490
4,2:10,2,6,HOU 12,38,34,Deshaun Watson left end for 8 yards (tackle by Bradley McDougald),-0.490,0.280
4,2:00,1,10,HOU 20,38,34,Lamar Miller left guard for 1 yard (tackle by Michael Bennett),0.280,0.000
4,1:56,,,,,,Timeout #1 by Seattle Seahawks,0.000,0.130
4,1:56,2,9,HOU 21,38,34,Lamar Miller left guard for 5 yards (tackle by Michael Bennett),-0.130,0.000
4,1:53,,,,,,Timeout #2 by Seattle Seahawks,0.000,0.160
4,1:53,3,4,HOU 26,38,34,Lamar Miller middle for 2 yards (tackle by Sheldon Richardson and K.J. Wright),-0.160,0.000
4,1:49,,,,,,Timeout #3 by Seattle Seahawks,0.000,1.500
4,1:49,4,2,HOU 28,38,34,"Shane Lechler punts 63 yards, returned by Tyler Lockett for 11 yards (tackle by Jordan Todman)",-1.500,-0.280
4,1:39,1,10,SEA 20,38,34,Russell Wilson pass complete deep middle to Paul Richardson for 48 yards (tackle by Marcus Gilchrist),0.280,3.450
4,1:09,1,10,HOU 32,38,34,"Penalty on Rees Odhiambo: False Start, 5 yards (no play)",3.450,3.120
4,0:46,1,15,HOU 37,38,34,Russell Wilson pass complete deep left to Tyler Lockett for 19 yards (tackle by Marcus Williams),3.120,4.370
4,0:26,1,10,HOU 18,38,40,"Russell Wilson pass complete short middle to Jimmy Graham for 18 yards, touchdown",4.370,7.000
4,0:21,,,HOU 15,38,41,Blair Walsh kicks extra point good,0.000,0.000
4,0:21,,,SEA 35,38,41,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
4,0:21,1,10,HOU 25,38,41,Deshaun Watson sacked by Frank Clark for -10 yards,0.610,0.000
4,0:16,,,,,,Timeout #2 by Houston Texans,0.000,1.430
4,0:16,2,20,HOU 15,38,41,Deshaun Watson pass incomplete deep right intended for Will Fuller is intercepted by Richard Sherman at SEA-37 and returned for 1 yard,-1.430,-1.470
4,0:07,1,10,SEA 38,38,41,Russell Wilson kneels for -1 yards,1.470,0.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
