Quarter,Time,Tm,Detail,NWE,PIT
1.0,9:00,Patriots,Rex Burkhead 1 yard rush (Stephen Gostkowski kick),7,0
,5:32,Steelers,Eli Rogers 18 yard pass from Ben Roethlisberger (Chris Boswell kick),7,7
2.0,12:15,Steelers,Chris Boswell 51 yard field goal,7,10
,9:04,Patriots,Stephen Gostkowski 32 yard field goal,10,10
,0:25,Steelers,Martavis Bryant 4 yard pass from Ben Roethlisberger (Chris Boswell kick),10,17
3.0,8:50,Patriots,Brandin Cooks 4 yard pass from Tom Brady (Stephen Gostkowski kick failed),16,17
,1:33,Steelers,Le'Veon Bell 3 yard rush (Chris Boswell kick),16,24
4.0,3:56,Patriots,Stephen Gostkowski 46 yard field goal,19,24
,0:56,Patriots,Dion Lewis 8 yard rush (Rob Gronkowski pass from Tom Brady),27,24
