Quarter,Time,Down,ToGo,Location,NWE,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 59 yards, returned by Fitzgerald Toussaint for 10 yards (tackle by Trevor Reilly)",0.000,0.140
1,14:56,1,10,PIT 16,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 17 yards (tackle by David Harris and Elandon Roberts),-0.140,1.140
1,14:15,1,10,PIT 33,0,0,Le'Veon Bell middle for 5 yards (tackle by Lawrence Guy and Malcom Brown),1.140,1.270
1,13:34,2,5,PIT 38,0,0,"Le'Veon Bell right tackle for 2 yards (tackle by Devin McCourty). Penalty on David DeCastro: Offensive Holding, 10 yards (no play)",1.270,-0.080
1,13:05,2,15,PIT 28,0,0,Le'Veon Bell left tackle for 7 yards (tackle by Devin McCourty),-0.080,0.170
1,12:26,3,8,PIT 35,0,0,Ben Roethlisberger pass incomplete deep left intended for Jesse James (defended by Patrick Chung),0.170,-1.040
1,12:18,4,8,PIT 35,0,0,"Jordan Berry punts 42 yards, out of bounds",-1.040,-0.480
1,12:11,1,10,NWE 23,0,0,Tom Brady pass complete short middle to Dion Lewis for 13 yards (tackle by Sean Spence),0.480,1.330
1,11:33,1,10,NWE 36,0,0,Tom Brady pass complete short middle to Phillip Dorsett for 4 yards (tackle by Mike Hilton),1.330,1.330
1,11:03,2,6,NWE 40,0,0,Dion Lewis middle for 5 yards (tackle by T.J. Watt),1.330,1.290
1,10:23,3,1,NWE 45,0,0,"Tom Brady pass incomplete short left intended for Danny Amendola (defended by T.J. Watt). Penalty on Cameron Heyward: Defensive Offside, 5 yards (no play)",1.290,2.260
1,10:20,1,10,,0,0,Tom Brady pass complete deep left to Brandin Cooks for 43 yards (tackle by Mike Mitchell),2.260,5.600
1,9:39,1,7,PIT 7,0,0,Dion Lewis right guard for 6 yards (tackle by Artie Burns),5.600,5.910
1,9:03,2,1,PIT 1,6,0,"Rex Burkhead right guard for 1 yard, touchdown",5.910,7.000
1,9:00,,,PIT 15,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,9:00,,,NWE 35,7,0,"Stephen Gostkowski kicks off 61 yards, returned by JuJu Smith-Schuster for 27 yards (tackle by Patrick Chung)",0.000,-1.000
1,8:54,1,10,PIT 31,7,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 13 yards (tackle by Stephon Gilmore),1.000,1.860
1,8:17,1,10,PIT 44,7,0,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Malcolm Butler),1.860,1.990
1,7:55,2,5,PIT 49,7,0,Le'Veon Bell right tackle for 1 yard (tackle by Lawrence Guy),1.990,1.420
1,7:20,3,4,,7,0,Ben Roethlisberger pass complete short middle to Antonio Brown for 19 yards (tackle by Devin McCourty),1.420,3.510
1,6:30,1,10,NWE 31,7,0,Ben Roethlisberger pass incomplete deep left intended for Martavis Bryant,3.510,2.970
1,6:25,2,10,NWE 31,7,0,Ben Roethlisberger pass incomplete short middle intended for Martavis Bryant (defended by Stephon Gilmore),2.970,2.280
1,6:21,3,10,NWE 31,7,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 13 yards (tackle by Eric Rowe),2.280,4.370
1,5:37,1,10,NWE 18,7,6,"Ben Roethlisberger pass complete short middle to Eli Rogers for 18 yards, touchdown",4.370,7.000
1,5:32,,,NWE 15,7,7,Chris Boswell kicks extra point good,0.000,0.000
