Unnamed: 0,NWE,PIT
First Downs,21,21
Rush-Yds-TDs,19-77-2,31-143-1
Cmp-Att-Yd-TD-INT,22-35-298-1-1,22-30-281-2-1
Sacked-Yards,2-15,2-11
Net Pass Yards,283,270
Total Yards,360,413
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,2-4,6-63
Third Down Conv.,3-9,10-16
Fourth Down Conv.,1-1,0-0
Time of Possession,24:53,35:07
