Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Wade Richey kicks off 71 yards, returned by Tim Dwight for 24 yards (tackle by Ovie Mughelli)",0.000,0.480
1,14:55,1,10,SDG 23,0,0,Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Ed Reed),0.480,0.340
1,14:15,2,7,SDG 26,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Peter Boulware and Kelly Gregg),0.340,-0.100
1,13:33,3,5,SDG 28,0,0,Drew Brees pass incomplete intended for Justin Peelle (defended by Will Demps),-0.100,-1.500
1,13:27,4,5,SDG 28,0,0,"Darren Bennett punts 38 yards, fair catch by Lamont Brightful",-1.500,-1.200
1,13:18,1,10,BAL 34,0,0,Jamal Lewis up the middle for no gain (tackle by Zeke Moreno),1.200,0.660
1,12:47,2,10,BAL 34,0,0,Jamal Lewis right tackle for -1 yards (tackle by Marcellus Wiley),0.660,-0.160
1,12:10,3,11,BAL 33,0,0,Kyle Boller pass complete to Marcus Robinson for 10 yards (tackle by Drayton Florence),-0.160,-0.520
1,11:28,4,1,BAL 43,0,0,"Dave Zastudil punts 38 yards, returned by Eric Parker for 3 yards (tackle by Adalius Thomas)",-0.520,-0.410
1,11:20,1,10,SDG 22,0,0,LaDainian Tomlinson up the middle for 6 yards (tackle by Marques Douglas),0.410,0.680
1,10:45,2,4,SDG 28,0,0,LaDainian Tomlinson right tackle for 7 yards (tackle by Ray Lewis),0.680,1.270
1,10:03,1,10,SDG 35,0,0,LaDainian Tomlinson for 12 yards (tackle by Ray Lewis),1.270,2.060
1,9:33,1,10,SDG 47,0,0,Tim Dwight right end for 9 yards (tackle by Cornell Brown),2.060,2.730
1,8:50,2,1,BAL 44,0,0,Lorenzo Neal up the middle for 3 yards (tackle by Marques Douglas and Ed Hartwell),2.730,2.850
1,8:11,1,10,BAL 41,0,0,LaDainian Tomlinson up the middle for -1 yards (tackle by Ed Reed),2.850,2.170
1,7:28,2,11,BAL 42,0,0,"Penalty on Vaughn Parker: False Start, 5 yards (no play)",2.170,1.500
1,7:04,2,16,BAL 47,0,0,LaDainian Tomlinson left end for 7 yards (tackle by Ed Hartwell),1.500,1.750
1,6:26,3,9,BAL 40,0,0,Drew Brees pass complete to Tim Dwight for 17 yards (tackle by Ed Reed),1.750,4.040
1,5:42,1,10,BAL 23,0,0,LaDainian Tomlinson up the middle for 8 yards (tackle by Gary Baxter),4.040,4.750
1,5:01,2,2,BAL 15,0,0,LaDainian Tomlinson left tackle for no gain (tackle by Ed Reed),4.750,4.050
1,4:21,3,2,BAL 15,0,0,David Boston right end for 5 yards (tackle by Gary Baxter),4.050,4.910
1,4:01,1,10,BAL 10,0,0,LaDainian Tomlinson left end for -1 yards (tackle by Will Demps),4.910,4.020
1,3:22,,,,0,0,Timeout #1 by San Diego Chargers,0.000,4.020
1,3:22,2,11,BAL 11,0,0,Drew Brees pass incomplete intended for Lorenzo Neal (defended by Ed Reed),4.020,3.120
1,3:17,3,11,BAL 11,0,0,Drew Brees up the middle for 5 yards (tackle by Ray Lewis),3.120,2.990
1,2:46,4,6,BAL 6,0,3,Steve Christie 24 yard field goal good,2.990,3.000
1,,,,SDG 30,0,3,"Steve Christie kicks off 60 yards, returned by Chester Taylor for 19 yards (tackle by Kassim Osgood)",0.000,0.870
1,2:38,1,10,BAL 29,0,3,Kyle Boller pass complete to Todd Heap for 7 yards (tackle by Kwamie Lassiter),0.870,1.270
1,2:12,2,3,BAL 36,0,3,Kyle Boller pass complete to Jamal Lewis for 8 yards (tackle by Donnie Edwards),1.270,1.860
1,1:50,1,10,BAL 44,0,3,Kyle Boller pass incomplete intended for Travis Taylor,1.860,1.320
1,1:43,2,10,BAL 44,6,3,"Jamal Lewis up the middle for 3 yards (tackle by Adrian Dingle). Jamal Lewis fumbles (forced by Adrian Dingle), recovered by Alan Ricard at tm_-50 and returned for 50 yards, touchdown",1.320,7.000
1,,,,SDG 2,7,3,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,7,3,"Wade Richey kicks off 70 yards, returned by Tim Dwight for 18 yards (tackle by Tom Knight). Penalty on Antonio Gates: Illegal Block Above the Waist, 9 yards",0.000,-0.380
1,1:24,1,10,SDG 9,7,3,LaDainian Tomlinson left tackle for 4 yards (tackle by Ed Reed),-0.380,-0.480
1,0:47,2,6,SDG 13,7,3,Drew Brees pass complete to David Boston for 7 yards (tackle by Corey Fuller),-0.480,0.280
1,0:47,1,10,SDG 20,7,3,"Penalty on SDG: Illegal Substitution, 5 yards (no play)",0.280,-0.310
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,SDG 15,7,3,LaDainian Tomlinson right end for 1 yard (tackle by Marques Douglas),-0.310,-0.940
2,14:20,2,14,SDG 16,7,3,"Drew Brees pass complete to LaDainian Tomlinson for 11 yards (tackle by Ed Reed). Penalty on Kelvin Garmon: Offensive Holding, 8 yards (no play)",-0.940,-1.660
2,13:52,2,22,SDG 8,7,3,Drew Brees pass complete to David Boston for 40 yards (tackle by Gary Baxter). Penalty on Gary Baxter: Defensive Pass Interference (Declined),-1.660,2.130
2,13:26,1,10,SDG 48,7,3,LaDainian Tomlinson up the middle for 2 yards (tackle by Ray Lewis and Peter Boulware),2.130,1.850
2,12:47,2,8,SDG 50,7,3,Drew Brees pass complete to David Boston for 15 yards (tackle by Ed Hartwell),1.850,3.250
2,12:18,1,10,BAL 35,7,3,"Penalty on Kelvin Garmon: False Start, 5 yards (no play)",3.250,2.920
2,12:05,1,15,BAL 40,7,3,LaDainian Tomlinson right guard for 6 yards (tackle by Kelly Gregg),2.920,2.840
2,11:24,2,9,BAL 34,7,3,Drew Brees pass incomplete intended for Tim Dwight (defended by Gary Baxter),2.840,2.150
2,11:17,3,9,BAL 34,7,3,Drew Brees pass incomplete intended for Tim Dwight,2.150,1.060
2,11:12,4,9,BAL 34,7,3,Steve Christie punts 20 yards,1.060,0.280
2,11:01,1,10,BAL 14,7,3,Jamal Lewis left end for 5 yards (tackle by Zeke Moreno),-0.280,-0.040
2,10:34,2,5,BAL 19,7,3,Kyle Boller pass complete to Frank Sanders for 6 yards,-0.040,0.610
2,10:11,1,10,BAL 25,7,3,Jamal Lewis right tackle for 2 yards (tackle by Adrian Dingle),0.610,0.330
2,9:32,2,8,BAL 27,7,3,Kyle Boller pass incomplete intended for Travis Taylor,0.330,-0.360
2,9:28,3,8,BAL 27,7,3,"Kyle Boller sacked by DeQuincy Scott for 0 yards. Penalty on Donnie Edwards: Illegal Contact, 5 yards (no play)",-0.360,1.070
2,9:06,1,10,BAL 32,7,3,Jamal Lewis left tackle for 11 yards (tackle by Donnie Edwards and Marcellus Wiley),1.070,1.800
2,8:27,1,10,BAL 43,7,3,Jamal Lewis for 11 yards (tackle by Jerry Wilson),1.800,2.520
2,8:03,1,10,SDG 46,7,3,"Kyle Boller pass complete to Frank Sanders for no gain. Penalty on Orlando Brown: Offensive Holding, 11 yards (no play)",2.520,1.800
2,7:40,1,21,BAL 43,7,3,Chester Taylor up the middle for 6 yards (tackle by Jerry Wilson and Marcellus Wiley),1.800,1.300
2,7:01,2,15,BAL 49,7,3,Jamal Lewis up the middle for 4 yards (tackle by Kwamie Lassiter),1.300,1.160
2,6:22,3,11,SDG 47,7,3,Kyle Boller pass incomplete intended for Marcus Robinson,1.160,0.130
2,6:14,4,11,SDG 47,7,3,"Dave Zastudil punts 47 yards, touchback",0.130,-0.280
2,6:04,1,10,SDG 20,7,3,LaDainian Tomlinson right tackle for 4 yards (tackle by Anthony Weaver),0.280,0.270
2,5:22,2,6,SDG 24,7,3,LaDainian Tomlinson right tackle for 5 yards (tackle by Ray Lewis),0.270,0.230
2,4:41,3,1,SDG 29,7,3,Drew Brees pass incomplete intended for David Boston,0.230,-1.440
2,4:33,4,1,SDG 29,7,3,"Penalty on SDG: Delay of Game, 5 yards (no play)",-1.440,-1.770
