Unnamed: 0,BAL,SDG
First Downs,16,25
Rush-Yds-TDs,32-152-1,30-132-1
Cmp-Att-Yd-TD-INT,12-21-98-1-1,28-45-270-0-3
Sacked-Yards,1-1,1-13
Net Pass Yards,97,257
Total Yards,249,389
Fumbles-Lost,1-0,0-0
Turnovers,1,3
Penalties-Yards,4-28,10-61
Third Down Conv.,3-9,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,24:48,35:12
