Unnamed: 0,NOR,NYJ
First Downs,23,14
Rush-Yds-TDs,13-41-0,36-198-2
Cmp-Att-Yd-TD-INT,30-51-382-2-2,9-20-140-0-0
Sacked-Yards,2-16,2-0
Net Pass Yards,366,140
Total Yards,407,338
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,9-59,8-62
Third Down Conv.,3-11,4-14
Fourth Down Conv.,1-3,0-0
Time of Possession,29:32,30:28
