Quarter,Time,Tm,Detail,NOR,NYJ
1.0,5:41,Jets,Nick Folk 39 yard field goal,0,3
,2:45,Saints,Jimmy Graham 51 yard pass from Drew Brees (Garrett Hartley kick),7,3
2.0,10:04,Jets,Nick Folk 21 yard field goal,7,6
,7:51,Saints,Jimmy Graham 10 yard pass from Drew Brees (Garrett Hartley kick),14,6
,2:39,Jets,Chris Ivory 3 yard rush (Nick Folk kick),14,13
,0:37,Jets,Geno Smith 3 yard rush (Nick Folk kick),14,20
3.0,11:57,Jets,Nick Folk 47 yard field goal,14,23
,1:46,Saints,Garrett Hartley 55 yard field goal,17,23
4.0,11:56,Jets,Nick Folk 45 yard field goal,17,26
,3:06,Saints,Garrett Hartley 43 yard field goal,20,26
