Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,"Drew Brees pass incomplete short left intended for Jimmy Graham. Penalty on Muhammad Wilkerson: Defensive Offside, 5 yards (no play)",0.280,1.010
1,14:57,1,5,NOR 25,0,0,Drew Brees pass complete short left to Lance Moore for 11 yards (tackle by Antonio Allen),1.010,1.330
1,14:25,1,10,NOR 36,0,0,Drew Brees pass complete short right to Darren Sproles for 2 yards (tackle by David Harris and Antonio Allen),1.330,1.060
1,13:42,2,8,NOR 38,0,0,Pierre Thomas right tackle for 4 yards (tackle by Sheldon Richardson),1.060,1.060
1,12:55,2,8,NOR 38,0,0,Timeout #1 by New Orleans Saints,1.060,0.890
1,12:55,3,4,NOR 42,0,0,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",0.890,0.230
1,12:55,3,9,NOR 37,0,0,Drew Brees pass complete deep left to Lance Moore for 25 yards (tackle by Kyle Wilson),0.230,3.050
1,12:13,1,10,NYJ 38,0,0,"Penalty on Charles Brown: False Start, 5 yards (no play)",3.050,2.720
1,11:52,1,15,NYJ 43,0,0,"Drew Brees pass incomplete short right intended for Mark Ingram. Penalty on Muhammad Wilkerson: Roughing the Passer, 15 yards (no play)",2.720,3.710
1,11:47,1,10,NYJ 28,0,0,Drew Brees pass complete short left to Pierre Thomas for -1 yards (tackle by David Harris),3.710,3.030
1,11:09,2,11,NYJ 29,0,0,Drew Brees pass complete short right to Kenny Stills for 4 yards (tackle by Kyle Wilson),3.030,2.870
1,10:29,3,7,NYJ 25,0,0,Drew Brees pass incomplete short left intended for Pierre Thomas,2.870,1.800
1,10:24,4,7,NYJ 25,0,0,Garrett Hartley 43 yard field goal no good,1.800,-1.140
1,10:21,1,10,NYJ 33,0,0,Chris Ivory right tackle for -2 yards (tackle by Akiem Hicks and Curtis Lofton),1.140,0.320
1,9:46,2,12,NYJ 31,0,0,Geno Smith pass complete short right to Jeremy Kerley for 1 yard (tackle by David Hawthorne),0.320,-0.230
1,9:04,3,11,NYJ 32,0,0,Geno Smith pass incomplete short middle intended for Bilal Powell,-0.230,-1.240
1,9:00,4,11,NYJ 32,0,0,"Ryan Quigley punts 34 yards. Penalty on Keyunta Dawson: Running Into the Kicker, 5 yards (no play)",-1.240,-0.910
1,8:51,4,6,NYJ 37,0,0,"Ryan Quigley punts 43 yards, fair catch by Lance Moore",-0.910,-0.280
1,8:44,1,10,NOR 20,0,0,Drew Brees pass complete short left to Pierre Thomas for 11 yards (tackle by Sheldon Richardson). Penalty on Antonio Allen: Defensive Holding (Declined),0.280,1.000
1,8:19,1,10,NOR 31,0,0,Drew Brees pass complete short left to Jimmy Graham for 6 yards (tackle by Dee Milliner),1.000,1.270
1,7:43,2,4,NOR 37,0,0,Drew Brees pass incomplete short left intended for Ben Watson is intercepted by Demario Davis at NOR-48,1.270,-2.390
1,7:34,1,10,NOR 48,0,0,Chris Ivory right tackle for 27 yards (tackle by Keenan Lewis),2.390,4.170
1,6:56,1,10,NOR 21,0,0,Josh Cribbs right guard for no gain (tackle by Curtis Lofton),4.170,3.630
1,6:22,2,10,NOR 21,0,0,Geno Smith sacked by David Hawthorne for 0 yards,3.630,2.940
1,5:49,3,10,NOR 21,0,0,Geno Smith pass incomplete short left intended for David Nelson,2.940,2.060
1,5:44,4,10,NOR 21,0,3,Nick Folk 39 yard field goal good,2.060,3.000
1,5:44,,,NYJ 35,0,3,"Nick Folk kicks off 68 yards, returned by Travaris Cadet for 22 yards (tackle by Isaiah Trufant)",0.000,-0.150
1,5:36,1,10,NOR 19,0,3,Mark Ingram right tackle for 2 yards (tackle by Sheldon Richardson and Kenrick Ellis),0.150,-0.060
1,5:00,2,8,NOR 21,0,3,Drew Brees pass complete short middle to Robert Meachem for 15 yards (tackle by Dawan Landry and Demario Davis),-0.060,1.330
1,4:26,1,10,NOR 36,0,3,Drew Brees pass incomplete short middle intended for Mark Ingram,1.330,0.790
1,4:21,2,10,NOR 36,0,3,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",0.790,0.120
1,4:20,2,15,NOR 31,0,3,Drew Brees pass complete short left to Robert Meachem for 13 yards (tackle by Dee Milliner and Sheldon Richardson),0.120,1.160
1,3:33,3,2,NOR 44,0,3,Drew Brees pass complete short right to Jimmy Graham for 5 yards (tackle by Antonio Allen),1.160,1.160
1,2:55,3,2,NOR 44,0,3,Timeout #2 by New Orleans Saints,1.160,2.190
1,2:55,1,10,NOR 49,6,3,"Drew Brees pass complete deep right to Jimmy Graham for 51 yards, touchdown",2.190,7.000
1,2:55,,,NYJ 2,7,3,Garrett Hartley kicks extra point good,0.000,0.000
1,2:55,,,NOR 35,7,3,"Thomas Morstead kicks off 70 yards, returned by Josh Cribbs for 27 yards (tackle by Kevin Reddick)",0.000,-0.410
1,2:39,1,10,NYJ 22,7,3,"Chris Ivory right guard for no gain. Penalty on Jeremy Kerley: Illegal Shift, 5 yards (no play)",0.410,-0.120
1,2:24,1,15,NYJ 17,7,3,Geno Smith pass incomplete short right intended for Jeremy Kerley (defended by Cameron Jordan),-0.120,-0.940
1,2:20,2,15,NYJ 17,7,3,Geno Smith pass incomplete short right intended for Tommy Bohanon,-0.940,-1.680
1,2:16,3,15,NYJ 17,7,3,Geno Smith pass complete short middle to Josh Cribbs for 5 yards (tackle by Corey White),-1.680,-1.900
1,1:41,4,10,NYJ 22,7,3,Ryan Quigley punts 40 yards,-1.900,-1.470
1,1:30,1,10,NOR 38,7,3,Pierre Thomas up the middle for no gain (tackle by David Harris and Calvin Pace),1.470,1.470
1,0:47,1,10,NOR 38,7,3,Timeout #3 by New Orleans Saints,1.470,0.920
1,0:47,2,10,NOR 38,7,3,"Penalty on NYJ: Defensive 12 On-field, 5 yards (no play)",0.920,1.600
1,0:47,2,5,NOR 43,7,3,Drew Brees pass complete short left to Lance Moore for 6 yards (tackle by Kyle Wilson),1.600,2.190
1,0:17,1,10,NOR 49,7,3,Drew Brees pass incomplete short middle intended for Lance Moore,2.190,1.650
1,0:13,2,10,NOR 49,7,3,Drew Brees pass incomplete short left intended for Pierre Thomas (defended by Dee Milliner),1.650,0.960
1,0:09,3,10,NOR 49,7,3,Drew Brees pass incomplete deep left intended for Nick Toon,0.960,-0.130
1,0:01,4,10,NOR 49,7,3,Thomas Morstead punts 47 yards,-0.130,0.380
Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 4,7,3,"Penalty on Willie Colon: False Start, 2 yards (no play)",-0.380,-0.460
2,15:00,1,12,NYJ 2,7,3,Geno Smith pass incomplete short right intended for Zach Sudfeld (defended by Kenny Vaccaro),-0.460,-0.930
2,14:57,2,12,NYJ 2,7,3,Chris Ivory right tackle for 52 yards (tackle by Kenny Vaccaro),-0.930,2.520
2,14:21,1,10,NOR 46,7,3,Bilal Powell left tackle for 6 yards (tackle by Curtis Lofton),2.520,2.790
2,13:38,2,4,NOR 40,7,3,Josh Cribbs pass complete deep right to Zach Sudfeld for 25 yards (tackle by Curtis Lofton),2.790,4.580
2,12:51,1,10,NOR 15,7,3,Chris Ivory up the middle for 3 yards (tackle by Cameron Jordan),4.580,4.450
2,12:10,2,7,NOR 12,7,3,Bilal Powell up the middle for 6 yards (tackle by Jonathan Vilma),4.450,4.900
2,11:30,3,1,NOR 6,7,3,Geno Smith up the middle for 2 yards (tackle by David Hawthorne),4.900,6.280
2,10:53,1,4,NOR 4,7,3,Chris Ivory right guard for 1 yard (tackle by Akiem Hicks and Brodrick Bunkley),6.280,5.530
2,10:17,2,3,NOR 3,7,3,Geno Smith pass incomplete short right intended for Zach Sudfeld,5.530,4.720
2,10:12,3,3,NOR 3,7,3,Geno Smith pass incomplete short right intended for Greg Salas,4.720,3.040
2,10:07,4,3,NOR 3,7,6,Nick Folk 21 yard field goal good,3.040,3.000
2,10:07,,,NYJ 35,7,6,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
2,10:04,1,10,NOR 20,7,6,Drew Brees pass complete deep right to Robert Meachem for 60 yards (tackle by Antonio Allen),0.280,4.240
2,9:20,1,10,NYJ 20,7,6,Jed Collins left tackle for 7 yards (tackle by Calvin Pace and Antonio Allen),4.240,4.830
