Quarter,Time,Tm,Detail,DET,MIN
1.0,10:50,Lions,Mikhael Ricks 41 yard pass from Joey Harrington (Jason Hanson kick),7,0
,9:39,Lions,Chris Claiborne 20 yard interception return (Jason Hanson kick),14,0
,5:54,Vikings,Gary Anderson 42 yard field goal,14,3
2.0,12:34,Vikings,Jim Kleinsasser 1 yard pass from Daunte Culpepper (Gary Anderson kick),14,10
,1:11,Lions,Az-Zahir Hakim 20 yard pass from Joey Harrington (Jason Hanson kick),21,10
3.0,9:51,Vikings,Daunte Culpepper 7 yard rush (Gary Anderson kick),21,17
,6:07,Lions,Jason Hanson 49 yard field goal,24,17
4.0,5:25,Vikings,Michael Bennett 45 yard pass from Daunte Culpepper (Gary Anderson kick),24,24
,2:12,Vikings,Moe Williams 2 yard rush (Gary Anderson kick),24,31
