Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 68 yards, returned by Nick Davis for 39 yards (tackle by Chris Cash)",0.000,1.660
1,14:54,1,10,MIN 41,0,0,Daunte Culpepper pass complete to Randy Moss for 1 yard (tackle by Chris Cash),1.660,1.260
1,14:19,2,9,MIN 42,0,0,Michael Bennett left guard for 3 yards (tackle by James Hall),1.260,0.960
1,13:41,3,6,MIN 45,0,0,Daunte Culpepper middle for 2 yards (tackle by Chris Cash and Chris Claiborne),0.960,-0.260
1,13:03,4,4,MIN 47,0,0,"Kyle Richardson punts 53 yards, touchback",-0.260,-0.280
1,12:54,1,10,DET 20,0,0,Joey Harrington pass complete to Mikhael Ricks for 31 yards (tackle by Greg Biekert and Willie Offord),0.280,2.320
1,12:20,1,10,MIN 49,0,0,Cory Schlesinger for -2 yards (tackle by Antonio Wilson),2.320,1.510
1,11:41,2,12,DET 49,0,0,Az-Zahir Hakim left end for 10 yards (tackle by Patrick Chukwurah),1.510,2.150
1,10:58,3,2,MIN 41,6,0,"Joey Harrington pass complete to Mikhael Ricks for 41 yards, touchdown",2.150,7.000
1,10:58,,,MIN 41,7,0,Jason Hanson kicks extra point good,0.000,0.000
1,10:58,,,DET 30,7,0,"Jason Hanson kicks off 64 yards, returned by Doug Chapman for 20 yards (tackle by Andre' Goodman). Penalty on Nick Rogers: Offensive Holding, 10 yards",0.000,-0.140
1,10:41,1,10,MIN 16,7,0,Michael Bennett left end for 1 yard (tackle by James Hall),-0.140,-0.510
1,10:03,2,9,MIN 17,7,0,"Penalty on Lewis Kelly: False Start, 5 yards (no play)",-0.510,-1.070
1,9:48,2,14,MIN 12,13,0,"Daunte Culpepper pass incomplete intended for Derrick Alexander is intercepted by Chris Claiborne at MIN-20 and returned for 20 yards, touchdown",-1.070,-7.000
1,9:39,,,MIN 12,14,0,Jason Hanson kicks extra point good,0.000,0.000
1,9:39,,,DET 30,14,0,"Jason Hanson kicks off 58 yards, returned by Doug Chapman for 39 yards (tackle by Andre' Goodman)",0.000,2.320
1,9:31,1,10,DET 49,14,0,Michael Bennett middle for 7 yards (tackle by Robert Porcher and Clint Kriewaldt),2.320,2.730
1,8:54,2,3,DET 42,14,0,Daunte Culpepper sacked by Jared DeVries for -4 yards,2.730,1.490
1,8:27,3,7,DET 46,14,0,Daunte Culpepper pass complete to Derrick Alexander for 18 yards (tackle by Todd Lyght),1.490,3.710
1,7:50,1,10,DET 28,14,0,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",3.710,3.380
1,7:33,1,15,DET 33,14,0,Daunte Culpepper pass complete to Byron Chamberlain for 8 yards (tackle by Todd Lyght),3.380,3.570
1,7:11,2,7,DET 25,14,0,"Penalty on Lewis Kelly: False Start, 5 yards (no play)",3.570,2.900
1,6:49,2,12,DET 30,14,0,Daunte Culpepper pass complete to Michael Bennett for 6 yards (tackle by Barrett Green),2.900,3.010
1,6:03,3,6,DET 24,14,0,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Chris Cash),3.010,1.890
1,5:59,4,6,DET 24,14,3,Gary Anderson 42 yard field goal good,1.890,3.000
1,5:59,,,MIN 30,14,3,"Doug Brien kicks off 68 yards, returned by Desmond Howard for 18 yards (tackle by Harold Morrow)",0.000,-0.280
1,5:54,1,10,DET 20,14,3,Joey Harrington pass complete to Larry Foster for -2 yards (tackle by Kenny Mixon),0.280,-0.630
1,5:09,2,12,DET 18,14,3,Joey Harrington pass complete to James Stewart for 6 yards (tackle by Patrick Chukwurah),-0.630,-0.430
1,4:25,3,6,DET 24,14,3,Joey Harrington pass complete to Scotty Anderson for 8 yards,-0.430,1.070
1,4:02,1,10,DET 32,14,3,Joey Harrington pass incomplete intended for Az-Zahir Hakim,1.070,0.530
1,3:58,2,10,DET 32,14,3,James Stewart right guard for 7 yards (tackle by Willie Offord),0.530,0.760
1,3:12,3,3,DET 39,14,3,Joey Harrington pass incomplete intended for Aveion Cason (defended by Ronnie Bradford),0.760,-0.780
1,3:02,4,3,DET 39,14,3,"John Jett punts 47 yards, returned by Nick Davis for 7 yards (tackle by Stephen Trejo)",-0.780,-0.340
1,2:55,1,10,MIN 21,14,3,Michael Bennett middle for 3 yards (tackle by Shaun Rogers),0.340,0.210
1,2:15,2,7,MIN 24,14,3,Michael Bennett left tackle for 3 yards (tackle by Kelvin Pritchett and Chris Cash),0.210,-0.100
1,1:29,3,4,MIN 27,14,3,Daunte Culpepper middle for 22 yards (tackle by Lamar Campbell),-0.100,2.190
1,0:45,1,10,MIN 49,14,3,Daunte Culpepper pass complete to Randy Moss for 13 yards,2.190,3.050
1,0:18,1,10,DET 38,14,3,Daunte Culpepper pass complete to Michael Bennett for 13 yards (tackle by Barrett Green),3.050,3.910
Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 25,14,3,Daunte Culpepper left end for 7 yards (tackle by Chris Cash),3.910,4.370
2,14:35,2,3,DET 18,14,3,Daunte Culpepper pass complete to Derrick Alexander for 13 yards (tackle by Chris Cash),4.370,6.060
2,14:10,1,5,DET 5,14,3,Michael Bennett right guard for 2 yards (tackle by Luther Elliss and Jeff Gooch),6.060,5.530
2,13:25,2,3,DET 3,14,3,Michael Bennett right guard for 2 yards,5.530,5.170
