Unnamed: 0,DET,MIN
First Downs,17,22
Rush-Yds-TDs,17-53-0,25-111-2
Cmp-Att-Yd-TD-INT,25-41-309-2-1,27-36-295-2-1
Sacked-Yards,1-8,1-4
Net Pass Yards,301,291
Total Yards,354,402
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,5-56,10-75
Third Down Conv.,4-13,5-12
Fourth Down Conv.,1-2,0-1
Time of Possession,28:20,31:40
