Unnamed: 0,DEN,CHI
First Downs,22,18
Rush-Yds-TDs,37-138-2,32-122-1
Cmp-Att-Yd-TD-INT,17-31-302-2-1,17-33-193-1-1
Sacked-Yards,2-10,3-22
Net Pass Yards,292,171
Total Yards,430,293
Fumbles-Lost,3-1,4-3
Turnovers,2,4
Penalties-Yards,5-28,5-50
Third Down Conv.,1-12,4-15
Fourth Down Conv.,1-1,1-1
Time of Possession,33:54,29:47
