Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
2,10:01,3,19,DEN 42,10,3,Rex Grossman pass complete short middle to Adrian Peterson for 7 yards (tackle by Ian Gold),0.960,0.970
2,9:17,4,12,DEN 35,10,3,"Brad Maynard punts 35 yards, touchback",0.970,-0.280
2,9:09,1,10,DEN 20,10,3,Jay Cutler pass complete short left to Cecil Sapp for 4 yards (tackle by Hunter Hillenmeyer),0.280,0.270
2,8:32,2,6,DEN 24,10,3,"Jay Cutler pass incomplete deep right intended for Brandon Stokley is intercepted by Danieal Manning at DEN-44 and returned for 17 yards (tackle by Chris Myers). Penalty on Hunter Hillenmeyer: Illegal Contact, 5 yards (no play)",0.270,0.870
2,8:22,1,10,DEN 29,10,3,"Mike Bell for no gain (tackle by Lance Briggs). Mike Bell fumbles (forced by Lance Briggs), recovered by Adewale Ogunleye at DEN-30 and returned for 14 yards (tackle by Jay Cutler)",0.870,-4.510
2,8:10,1,10,DEN 16,10,3,"Rex Grossman left tackle for no gain (tackle by Elvis Dumervil). Penalty on John Tait: Offensive Holding, 10 yards (no play)",4.510,3.840
2,7:50,1,20,DEN 26,10,3,Adrian Peterson left guard for 1 yard (tackle by John Lynch and D.J. Williams),3.840,2.740
2,7:07,2,19,DEN 25,10,3,"Rex Grossman pass complete deep left to Greg Olsen for 25 yards. Penalty on Fred Miller: Offensive Holding, 10 yards (no play)",2.740,1.390
2,7:00,2,29,DEN 35,10,3,Rex Grossman sacked by Kenny Peterson for -8 yards,1.390,-0.300
2,6:25,3,37,DEN 43,10,3,Rex Grossman pass complete short middle to Adrian Peterson for 17 yards (tackle by D.J. Williams),-0.300,1.740
2,5:38,4,20,DEN 26,10,6,Robbie Gould 44 yard field goal good,1.740,3.000
2,,,,CHI 30,10,6,"Robbie Gould kicks off 63 yards, returned by Glenn Martinez for 16 yards (tackle by Brendon Ayanbadejo)",0.000,0.480
2,5:27,1,10,DEN 23,10,6,Andre Hall left tackle for 6 yards (tackle by Brian Urlacher and Hunter Hillenmeyer),0.480,0.740
2,4:47,2,4,DEN 29,10,6,Jay Cutler pass incomplete deep right intended for Brandon Stokley,0.740,0.040
2,4:40,3,4,DEN 29,10,6,Jay Cutler pass incomplete short left intended for Brandon Marshall,0.040,-1.440
2,4:36,4,4,DEN 29,10,6,"Todd Sauerbrun punts 47 yards. Penalty on Josh Gattis: Offensive Holding, 10 yards",-1.440,0.280
2,4:23,1,10,CHI 14,10,6,Adrian Peterson right end for 1 yard (tackle by D.J. Williams),-0.280,-0.640
2,3:47,2,9,CHI 15,10,6,Rex Grossman pass incomplete short left intended for Muhsin Muhammad,-0.640,-1.280
2,3:43,3,9,CHI 15,10,6,Adrian Peterson right tackle for no gain (tackle by D.J. Williams),-1.280,-2.440
2,3:05,4,9,CHI 15,10,6,Brad Maynard punts 52 yards,-2.440,-1.140
2,2:55,1,10,DEN 33,10,6,Andre Hall left tackle for 1 yard (tackle by Brian Urlacher and Lance Briggs),1.140,0.730
2,2:21,2,9,DEN 34,10,6,Andre Hall left end for 2 yards (tackle by Brian Urlacher),0.730,0.300
2,2:00,3,7,DEN 36,10,6,"Andre Hall right end for no gain (tackle by Tommie Harris). Penalty on Montrae Holland: Offensive Holding (Declined), Penalty on Daniel Graham: Offensive Holding (Declined)",0.300,-0.980
2,1:46,4,7,DEN 36,10,6,Todd Sauerbrun punts 42 yards,-0.980,-0.410
2,1:40,1,10,CHI 22,10,6,Rex Grossman pass complete to Adrian Peterson for 17 yards (tackle by Kenny Peterson),0.410,1.530
2,1:14,1,10,CHI 39,10,6,Rex Grossman pass incomplete short right intended for Adrian Peterson,1.530,0.990
2,1:10,2,10,CHI 39,10,6,Rex Grossman left guard for 1 yard (tackle by Kenny Peterson),0.990,0.430
2,0:59,,,,10,6,Timeout #1 by Chicago Bears,0.000,0.430
2,0:59,3,9,CHI 40,10,6,Rex Grossman pass incomplete short middle intended for Greg Olsen (defended by Ian Gold),0.430,-0.720
2,0:54,4,9,CHI 40,10,6,Brad Maynard punts 29 yards,-0.720,-1.000
2,0:48,1,10,DEN 31,10,6,Jay Cutler pass complete short right to Andre Hall for 65 yards (tackle by Israel Idonije),1.000,6.280
2,0:32,1,4,CHI 4,10,6,Andre Hall left guard for no gain (tackle by Darwin Walker and Adewale Ogunleye),6.280,5.340
2,0:25,,,,10,6,Timeout #1 by Denver Broncos,0.000,5.340
2,0:25,2,4,CHI 4,10,6,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Charles Tillman),5.340,4.490
2,0:22,3,4,CHI 4,10,6,Jay Cutler pass incomplete short right intended for Daniel Graham (defended by Charles Tillman),4.490,3.030
2,0:17,4,4,CHI 4,13,6,Jason Elam 22 yard field goal good,3.030,3.000
2,,,,DEN 30,13,6,"Todd Sauerbrun kicks off 35 yards, returned by Rashied Davis for 11 yards (tackle by Louis Green)",0.000,1.990
2,0:09,1,10,CHI 46,13,6,Rex Grossman pass incomplete short middle intended for Garrett Wolfe (defended by Kenny Peterson),1.990,1.450
2,0:05,2,10,CHI 46,13,6,Garrett Wolfe left guard for 25 yards (tackle by Hamza Abdullah),1.450,3.640
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,13,6,"Robbie Gould kicks off 64 yards, returned by Glenn Martinez for 16 yards (tackle by Brandon McGowan)",0.000,0.410
3,14:54,1,10,DEN 22,13,6,Jay Cutler pass complete short right to Brandon Stokley for 6 yards (tackle by Ricky Manning),0.410,0.680
3,14:24,2,4,DEN 28,13,6,Andre Hall right guard for 1 yard (tackle by Adewale Ogunleye),0.680,0.100
3,13:47,3,3,DEN 29,13,6,Andre Hall right end for no gain (tackle by Adewale Ogunleye and Charles Tillman),0.100,-1.440
3,13:07,4,3,DEN 29,13,12,"Todd Sauerbrun punts 46 yards, returned by Devin Hester for 75 yards, touchdown",-1.440,-7.000
3,,,,DEN 2,13,13,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,13,13,"Robbie Gould kicks off 64 yards, returned by Glenn Martinez for 19 yards (tackle by Rod Wilson). Glenn Martinez fumbles (forced by Rod Wilson), recovered by Nick Ferguson at DEN-25. Penalty on Kyle Johnson: Offensive Holding, 8 yards",0.000,-0.380
3,12:39,1,10,DEN 8,13,13,Jay Cutler pass incomplete intended for Brandon Marshall is intercepted by Charles Tillman at DEN-18 and returned for 4 yards (tackle by Brandon Marshall),-0.380,-4.650
3,12:30,1,10,DEN 14,13,13,Adrian Peterson left tackle for 1 yard (tackle by Nate Webster),4.650,4.160
3,11:55,2,9,DEN 13,13,13,Adrian Peterson left tackle for 2 yards (tackle by Elvis Dumervil),4.160,3.620
3,11:14,3,7,DEN 11,13,13,"Rex Grossman left tackle for 1 yard (tackle by Hamza Abdullah). Rex Grossman fumbles (forced by Hamza Abdullah), recovered by Hamza Abdullah at DEN-10",3.620,0.380
,,,,,,,"DEN challenged the fumble ruling, and the original play was overturned.",,
3,11:08,1,10,DEN 10,13,13,Andre Hall right guard for 5 yards (tackle by Alex Brown),-0.380,-0.350
3,10:39,2,5,DEN 15,13,13,Jay Cutler pass incomplete short middle intended for Brandon Stokley,-0.350,-0.840
,,,,,,,"DEN challenged the pass completion ruling, and the play was upheld.",,
3,10:32,3,5,DEN 15,13,13,Jay Cutler pass complete short right to Andre Hall for 4 yards (tackle by Tommie Harris),-0.840,-2.140
3,9:48,4,1,DEN 19,13,13,"Todd Sauerbrun punts 40 yards, returned by Devin Hester for -1 yards (tackle by Domonique Foxworth)",-2.140,-1.600
3,9:39,1,10,CHI 40,13,13,Rex Grossman pass incomplete short right intended for Muhsin Muhammad,1.600,1.050
3,9:35,2,10,CHI 40,13,13,Garrett Wolfe right tackle for 2 yards (tackle by D.J. Williams),1.050,0.630
3,8:57,3,8,CHI 42,13,13,Rex Grossman pass incomplete short middle intended for Rashied Davis,0.630,-0.590
3,8:52,4,8,CHI 42,13,13,"Brad Maynard punts 45 yards, returned by Glenn Martinez for 3 yards (tackle by Corey Graham)",-0.590,0.140
3,8:39,1,10,DEN 16,13,13,Andre Hall left guard for 11 yards (tackle by Hunter Hillenmeyer and Mark Anderson),-0.140,0.740
3,8:00,1,10,DEN 27,13,13,Andre Hall right tackle for 1 yard (tackle by Anthony Adams),0.740,0.330
3,7:23,2,9,DEN 28,13,13,Jay Cutler pass complete short left to Brandon Stokley for 11 yards (tackle by Hunter Hillenmeyer),0.330,1.530
3,6:41,1,10,DEN 39,13,13,Cecil Sapp right guard for 3 yards (tackle by Mark Anderson),1.530,1.390
3,6:03,2,7,DEN 42,13,13,Andre Hall left end for 16 yards (tackle by Danieal Manning),1.390,2.790
3,5:23,1,10,CHI 42,13,13,Cecil Sapp right guard for no gain (tackle by Lance Briggs and Alex Brown),2.790,2.240
3,4:45,2,10,CHI 42,13,13,Jay Cutler pass complete deep left to Tony Scheffler for 17 yards (tackle by Hunter Hillenmeyer),2.240,3.910
3,4:08,1,10,CHI 25,13,13,Andre Hall left end for 23 yards (tackle by Brian Urlacher),3.910,6.740
3,3:26,1,2,CHI 2,13,13,Andre Hall right tackle for -3 yards (tackle by Lance Briggs),6.740,5.150
3,2:43,2,5,CHI 5,19,13,"Cecil Sapp right end for 5 yards, touchdown",5.150,7.000
3,,,,CHI 2,20,13,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,20,19,"Todd Sauerbrun kicks off 58 yards, returned by Devin Hester for 88 yards, touchdown",0.000,7.000
3,,,,DEN 2,20,20,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,20,20,"Robbie Gould kicks off 56 yards, returned by Glenn Martinez for 18 yards (tackle by Brendon Ayanbadejo)",0.000,1.070
3,2:20,1,10,DEN 32,26,20,"Jay Cutler pass complete deep right to Brandon Marshall for 68 yards, touchdown",1.070,7.000
3,,,,CHI 2,27,20,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,27,20,"Todd Sauerbrun kicks off 39 yards, returned by Rashied Davis for 19 yards (tackle by Cecil Sapp)",0.000,2.260
3,2:05,1,10,,27,20,Rex Grossman pass incomplete short middle intended for Garrett Wolfe,2.260,1.710
3,2:01,2,10,,27,20,Garrett Wolfe right guard for 2 yards (tackle by Elvis Dumervil),1.710,1.290
3,1:25,3,8,DEN 48,27,20,Rex Grossman pass incomplete short right intended for Bernard Berrian. Penalty on Fred Miller: Face Mask (15 Yards) (Declined),1.290,0.070
3,1:18,4,8,DEN 48,27,20,"Brad Maynard punts 37 yards, fair catch by Glenn Martinez",0.070,0.370
3,1:10,1,10,DEN 11,27,20,Andre Hall right end for 3 yards (tackle by Hunter Hillenmeyer),-0.370,-0.530
3,0:29,2,7,DEN 14,27,20,Jay Cutler pass incomplete short left intended for Brandon Stokley (defended by Brian Urlacher),-0.530,-1.070
3,0:25,3,7,DEN 14,27,20,Jay Cutler pass complete short right to Brandon Stokley for 9 yards,-1.070,0.480
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DEN 23,27,20,Jay Cutler pass complete short left to Brandon Stokley for 9 yards (tackle by Hunter Hillenmeyer),0.480,1.150
4,14:24,2,1,DEN 32,27,20,Andre Hall left tackle for 2 yards (tackle by Hunter Hillenmeyer and Brian Urlacher),1.150,1.200
4,13:39,1,10,DEN 34,27,20,Jay Cutler pass complete deep right to Tony Scheffler for 41 yards (tackle by Adam Archuleta),1.200,3.910
4,12:54,1,10,CHI 25,27,20,Cecil Sapp right guard for 5 yards (tackle by Adewale Ogunleye),3.910,4.040
4,12:08,,,,27,20,Timeout #2 by Denver Broncos,0.000,4.040
4,12:08,2,5,CHI 20,27,20,Jay Cutler pass complete short left to Brandon Marshall for 6 yards (tackle by Ricky Manning),4.040,4.650
4,11:27,1,10,CHI 14,27,20,Andre Hall right guard for no gain (tackle by Anthony Adams),4.650,4.000
4,10:46,2,10,CHI 14,33,20,"Jay Cutler pass complete short right to Tony Scheffler for 14 yards, touchdown. Penalty on Brian Urlacher: Unsportsmanlike Conduct, 15 yards",4.000,7.000
4,,,,CHI 2,34,20,Jason Elam kicks extra point good,0.000,0.000
4,,,,DEN 45,34,20,"Todd Sauerbrun kicks off 37 yards, returned by John Gilmore for 10 yards (tackle by Louis Green)",0.000,0.810
4,10:35,1,10,CHI 28,34,20,Rex Grossman pass incomplete short right intended for Desmond Clark,0.810,0.260
4,10:31,2,10,CHI 28,34,20,Rex Grossman pass complete short middle to Muhsin Muhammad for 13 yards (tackle by D.J. Williams),0.260,1.660
4,9:55,1,10,CHI 41,34,20,Rex Grossman pass complete short right to Adrian Peterson for -2 yards (tackle by Ian Gold),1.660,0.850
4,9:14,2,12,CHI 39,34,20,"Rex Grossman sacked by Tim Crowder for -4 yards. Rex Grossman fumbles (forced by Tim Crowder), recovered by Ian Gold at CHI-36 (tackle by Olin Kreutz)",0.850,-3.180
4,9:06,1,10,CHI 36,34,20,Andre Hall left end for -8 yards (tackle by Mark Anderson),3.180,1.560
4,8:24,2,18,CHI 44,34,20,Cecil Sapp left guard for 3 yards (tackle by Mark Anderson),1.560,1.290
4,7:44,3,15,CHI 41,34,20,Jay Cutler pass incomplete deep left intended for Brandon Marshall,1.290,0.530
4,7:37,4,15,CHI 41,34,20,"Todd Sauerbrun punts 31 yards. Penalty on DEN: Illegal Formation, 5 yards (no play)",0.530,0.200
4,7:25,4,20,CHI 46,34,20,Todd Sauerbrun punts no gain,0.200,-4.370
4,7:14,1,10,DEN 18,34,20,Adrian Peterson right guard for 3 yards (tackle by John Lynch),4.370,4.250
4,6:43,2,7,DEN 15,34,20,Rex Grossman pass complete short left to Greg Olsen for 10 yards (tackle by Domonique Foxworth),4.250,6.060
4,6:05,1,5,DEN 5,34,20,Rex Grossman pass complete short right to John Gilmore for 1 yard (tackle by Champ Bailey),6.060,5.340
4,5:31,2,4,DEN 4,34,26,"Adrian Peterson left tackle for 4 yards, touchdown",5.340,7.000
4,,,,DEN 2,34,27,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,,,"Robbie Gould kicks off 54 yards, returned by Glenn Martinez for 13 yards",,
4,5:13,1,10,DEN 29,34,27,Andre Hall right tackle for 3 yards (tackle by Brian Urlacher),0.870,0.730
4,4:40,2,7,DEN 32,34,27,Jay Cutler pass complete short left to Brandon Marshall for 11 yards (tackle by Danieal Manning),0.730,1.800
4,3:54,1,10,DEN 43,34,27,Andre Hall right end for -1 yards (tackle by Danieal Manning),1.800,1.120
4,3:48,,,,34,27,Timeout #1 by Chicago Bears,0.000,1.120
4,3:48,2,11,DEN 42,34,27,Cecil Sapp right guard for no gain (tackle by Anthony Adams),1.120,0.430
4,3:43,,,,34,27,Timeout #2 by Chicago Bears,0.000,0.430
4,3:43,3,11,DEN 42,34,27,Jay Cutler sacked by Adewale Ogunleye for -6 yards,0.430,-0.980
4,3:07,,,,34,27,Timeout #3 by Denver Broncos,0.000,-0.980
4,3:07,4,17,DEN 36,34,27,"Todd Sauerbrun punts 33 yards, muffed catch by Devin Hester, recovered by Devin Hester and returned for no gain",-0.980,-1.270
4,2:58,1,10,CHI 35,34,27,Rex Grossman pass complete short right to Devin Hester for 1 yard (tackle by Ian Gold),1.270,0.860
4,2:51,2,9,CHI 36,34,27,Rex Grossman pass incomplete short right intended for Greg Olsen,0.860,0.170
4,2:47,3,9,CHI 36,34,27,Rex Grossman pass incomplete short right intended for Greg Olsen,0.170,-0.980
4,2:42,4,9,CHI 36,34,27,"Rex Grossman pass incomplete deep middle intended for Muhsin Muhammad. Penalty on Dre' Bly: Illegal Contact, 5 yards (no play)",-0.980,1.660
4,2:35,1,10,CHI 41,34,27,Rex Grossman pass complete short middle to Bernard Berrian for 9 yards (tackle by Champ Bailey),1.660,2.340
4,2:16,2,1,,34,27,Adrian Peterson left guard for -2 yards (tackle by Kenny Peterson),2.340,1.360
4,2:00,3,3,CHI 48,34,27,Rex Grossman pass complete deep left to Rashied Davis for 21 yards (tackle by Hamza Abdullah),1.360,3.510
4,1:39,1,10,DEN 31,34,27,Rex Grossman pass complete short middle to Muhsin Muhammad for 13 yards (tackle by Domonique Foxworth),3.510,4.370
4,1:22,1,10,DEN 18,34,27,Adrian Peterson right guard for 11 yards (tackle by D.J. Williams and Ian Gold),4.370,5.600
4,1:01,1,7,DEN 7,34,27,Adrian Peterson right tackle for 3 yards (tackle by Hamza Abdullah),5.600,5.340
4,0:42,2,4,DEN 4,34,27,Adrian Peterson right guard for 1 yard (tackle by Tim Crowder),5.340,4.720
4,0:36,,,,34,27,Timeout #3 by Chicago Bears,0.000,4.720
4,0:36,3,3,DEN 3,34,27,Rex Grossman pass incomplete short left intended for Bernard Berrian (defended by Karl Paymah),4.720,3.040
4,0:32,4,3,DEN 3,34,33,"Rex Grossman pass complete short right to Bernard Berrian for 3 yards, touchdown",3.040,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,,,,DEN 2,34,34,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,34,34,"Robbie Gould kicks off 58 yards, returned by Glenn Martinez for 21 yards (tackle by Brandon McGowan)",0.000,1.140
4,0:21,1,10,DEN 33,34,34,Cecil Sapp left guard for 12 yards (tackle by Adam Archuleta),1.140,1.930
4,0:05,1,10,DEN 45,34,34,"Jay Cutler spiked the ball. Penalty on DEN: False Start, 5 yards (no play)",1.930,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
,,,,,,,"Bears won the coin toss, Bears to receive the overtime kickoff.",,
OT,,,,DEN 30,34,34,"Todd Sauerbrun kicks off 50 yards, returned by Devin Hester for 4 yards (tackle by Domonique Foxworth)",0.000,0.540
OT,14:54,1,10,CHI 24,34,34,Rex Grossman pass complete deep right to Desmond Clark for 39 yards (tackle by Hamza Abdullah),0.540,3.120
OT,14:26,1,10,DEN 37,34,34,Adrian Peterson right guard for 8 yards (tackle by Nate Webster and D.J. Williams),3.120,3.650
OT,13:41,2,2,DEN 29,34,34,Adrian Peterson left guard for 1 yard (tackle by Nate Webster and John Lynch),3.650,3.070
OT,13:06,3,1,DEN 28,34,34,Adrian Peterson right tackle for 3 yards (tackle by John Lynch),3.070,3.910
OT,12:30,1,10,DEN 25,34,34,"Adrian Peterson right tackle for 2 yards (tackle by Nate Webster and John Lynch). Penalty on Alvin McKinley: Defensive Holding, 5 yards",3.910,4.370
OT,12:03,1,10,DEN 18,34,34,Rex Grossman kneels for -3 yards,4.370,3.420
OT,11:21,2,13,DEN 21,34,37,Robbie Gould 39 yard field goal good,3.420,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
