#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 29,5,2:13,17,Punt
2,1,10:47,DEN 47,8,3:52,41,Field Goal
3,1,3:16,CHI 18,1,0:15,0,Interception
4,2,14:10,CHI 28,8,5:01,37,Punt
5,2,8:10,DEN 16,4,2:38,-10,Field Goal
6,2,4:23,CHI 14,3,1:28,1,Punt
7,2,1:40,CHI 22,4,0:52,18,Punt
8,2,0:13,CHI 46,2,0:13,25,End of Half
9,3,12:30,DEN 14,3,1:22,4,Fumble
10,3,9:39,CHI 40,3,1:00,2,Punt
11,3,2:38,,0,0:12,0,Touchdown
12,3,2:11,,3,1:01,2,Punt
13,4,10:38,CHI 28,4,1:32,8,Fumble
14,4,7:14,DEN 18,4,1:57,18,Touchdown
15,4,2:58,CHI 35,12,2:30,65,Touchdown
16,5,15:00,CHI 24,7,3:41,55,Field Goal
