Quarter,Time,Down,ToGo,Location,ATL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matt Bosher kicks off 67 yards, returned by Jerrel Jernigan for 27 yards (tackle by Darrin Walls)",0.000,0.610
1,14:56,1,10,NYG 25,0,0,Eli Manning pass incomplete short middle intended for Victor Cruz,0.610,0.060
1,14:51,2,10,NYG 25,0,0,Ahmad Bradshaw right tackle for no gain (tackle by Curtis Lofton and Dominique Franks),0.060,-0.620
1,14:17,3,10,NYG 25,0,0,"Penalty on Hakeem Nicks: False Start, 5 yards (no play)",-0.620,-1.290
1,13:51,3,15,NYG 20,0,0,Eli Manning pass complete short right to Mario Manningham for 11 yards (tackle by Christopher Owens),-1.290,-1.310
1,13:15,4,4,NYG 31,0,0,"Steve Weatherford punts 48 yards, out of bounds",-1.310,-0.340
1,13:08,1,10,ATL 21,0,0,Michael Turner up the middle for 2 yards (tackle by Justin Tuck and Jason Pierre-Paul),0.340,0.070
1,12:33,2,8,ATL 23,0,0,Michael Turner left tackle for -1 yards (tackle by Jason Pierre-Paul and Chase Blackburn),0.070,-0.760
1,11:48,3,9,ATL 22,0,0,Matt Ryan pass incomplete short left intended for Harry Douglas,-0.760,-1.900
1,11:43,4,9,ATL 22,0,0,"Matt Bosher punts 51 yards, returned by Will Blackmon for 3 yards (tackle by Michael Palmer)",-1.900,-0.940
1,11:32,1,10,NYG 30,0,0,Ahmad Bradshaw up the middle for no gain (tackle by Jonathan Babineaux and Curtis Lofton),0.940,0.390
1,10:57,2,10,NYG 30,0,0,Eli Manning sacked by John Abraham for -7 yards,0.390,-1.220
1,10:21,3,17,NYG 23,0,0,Eli Manning pass complete short middle to DJ Ware for 13 yards (tackle by Thomas DeCoud). Penalty on David Diehl: Offensive Holding (Declined),-1.220,-0.980
1,10:00,4,4,NYG 36,0,0,"Steve Weatherford punts 43 yards, out of bounds",-0.980,-0.340
1,9:52,1,10,ATL 21,0,0,Matt Ryan pass complete short right to Julio Jones for 3 yards (tackle by Aaron Ross),0.340,0.210
1,9:15,2,7,ATL 24,0,0,Matt Ryan pass incomplete short right intended for Roddy White,0.210,-0.490
1,9:08,3,7,ATL 24,0,0,Matt Ryan pass incomplete short middle intended for Jacquizz Rodgers,-0.490,-1.770
1,9:04,4,7,ATL 24,0,0,"Matt Bosher punts 49 yards, returned by Will Blackmon for 7 yards (tackle by Michael Palmer)",-1.770,-1.200
1,8:53,1,10,NYG 34,0,0,Eli Manning pass complete short middle to Jake Ballard for 13 yards (tackle by Sean Weatherspoon),1.200,2.060
1,8:22,1,10,NYG 47,0,0,Brandon Jacobs left end for 2 yards (tackle by William Moore),2.060,1.790
1,8:00,2,8,NYG 49,0,0,Eli Manning pass complete short left to Ahmad Bradshaw for -1 yards (tackle by Thomas DeCoud),1.790,0.960
1,7:16,3,9,NYG 48,0,0,DJ Ware right end for 4 yards (tackle by Curtis Lofton and Sean Weatherspoon),0.960,0.070
1,6:43,4,5,ATL 48,0,0,"Steve Weatherford punts 38 yards, out of bounds",0.070,0.380
1,6:35,1,10,ATL 10,0,0,Michael Turner left end for 1 yard (tackle by Mathias Kiwanuka and Deon Grant),-0.380,-0.710
1,6:09,2,9,ATL 11,0,0,Matt Ryan pass complete deep middle to Julio Jones for 20 yards (tackle by Kenny Phillips),-0.710,1.000
1,5:31,1,10,ATL 31,0,0,Michael Turner right end for 1 yard (tackle by Jason Pierre-Paul),1.000,0.600
1,4:55,2,9,ATL 32,0,0,Michael Turner up the middle for 10 yards (tackle by Michael Boley),0.600,1.730
1,4:09,1,10,ATL 42,0,0,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Deon Grant),1.730,1.860
1,3:40,2,5,ATL 47,0,0,Michael Turner right guard for 3 yards (tackle by Antrel Rolle),1.860,1.550
1,3:06,3,2,,0,0,Matt Ryan pass complete short left to Jacquizz Rodgers for 3 yards (tackle by Corey Webster and Antrel Rolle),1.550,2.460
1,2:38,1,10,NYG 47,0,0,Jason Snelling left tackle for 6 yards (tackle by Aaron Ross and Osi Umenyiora),2.460,2.720
1,1:59,2,4,NYG 41,0,0,Matt Ryan pass incomplete,2.720,2.010
1,1:51,3,4,NYG 41,0,0,Matt Ryan pass complete short left to Julio Jones for 8 yards (tackle by Aaron Ross),2.010,3.380
1,1:21,1,10,NYG 33,0,0,Michael Turner left tackle for 3 yards (tackle by Aaron Ross and Chris L. Canty),3.380,3.240
