Unnamed: 0,ATL,NYG
First Downs,14,19
Rush-Yds-TDs,21-64-0,31-172-0
Cmp-Att-Yd-TD-INT,24-41-199-0-0,23-32-277-3-0
Sacked-Yards,2-16,1-7
Net Pass Yards,183,270
Total Yards,247,442
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,3-15,7-73
Third Down Conv.,4-14,8-15
Fourth Down Conv.,0-3,1-1
Time of Possession,25:26,34:34
