Unnamed: 0,JAX,TEN
First Downs,15,13
Rush-Yds-TDs,29-136-1,26-119-1
Cmp-Att-Yd-TD-INT,14-20-124-1-0,16-27-143-0-1
Sacked-Yards,2-7,3-13
Net Pass Yards,117,130
Total Yards,253,249
Fumbles-Lost,3-0,2-0
Turnovers,0,1
Penalties-Yards,9-87,6-56
Third Down Conv.,3-11,6-13
Fourth Down Conv.,1-1,0-0
Time of Possession,28:46,31:14
