Unnamed: 0,NOR,CAR
First Downs,28,17
Rush-Yds-TDs,25-107-0,27-50-1
Cmp-Att-Yd-TD-INT,35-44-285-2-1,14-33-192-1-0
Sacked-Yards,3-21,2-19
Net Pass Yards,264,173
Total Yards,371,223
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,6-48,6-45
Third Down Conv.,4-13,7-17
Fourth Down Conv.,2-2,0-0
Time of Possession,32:15,27:45
