Quarter,Time,Tm,Detail,NOR,CAR
1.0,8:34,Panthers,Graham Gano 32 yard field goal,0,3
,0:40,Saints,Wil Lutz 27 yard field goal,3,3
2.0,5:43,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),3,10
,2:55,Panthers,Graham Gano 49 yard field goal,3,13
,0:23,Panthers,Ted Ginn Jr. 40 yard pass from Cam Newton (Graham Gano kick),3,20
3.0,8:23,Panthers,Graham Gano 42 yard field goal,3,23
4.0,15:00,Saints,Wil Lutz 30 yard field goal,6,23
,11:27,Saints,Brandon Coleman 9 yard pass from Drew Brees (Wil Lutz kick),13,23
,2:56,Saints,Coby Fleener 8 yard pass from Drew Brees (Wil Lutz kick),20,23
