Unnamed: 0,NYG,DAL
First Downs,25,23
Rush-Yds-TDs,17-151-1,30-89-1
Cmp-Att-Yd-TD-INT,33-48-323-1-0,25-32-405-4-0
Sacked-Yards,1-4,0-0
Net Pass Yards,319,405
Total Yards,470,494
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,8-70,6-47
Third Down Conv.,2-11,6-10
Fourth Down Conv.,1-3,0-0
Time of Possession,27:42,32:18
