Unnamed: 0,CIN,CLE
First Downs,21,22
Rush-Yds-TDs,30-154-0,33-146-1
Cmp-Att-Yd-TD-INT,23-44-230-2-1,26-48-269-1-1
Sacked-Yards,2-9,2-20
Net Pass Yards,221,249
Total Yards,375,395
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,6-46,5-44
Third Down Conv.,5-18,6-19
Fourth Down Conv.,3-3,1-1
Time of Possession,36:01,38:55
