Quarter,Time,Tm,Detail,CIN,CLE
1,0:35,Bengals,Chad Johnson 5 yard pass from Carson Palmer (Shayne Graham kick),7,0
2,14:10,Bengals,Robert Geathers 75 yard defensive fumble return (Shayne Graham kick),14,0
,1:26,Browns,Steve Heiden 1 yard pass from Derek Anderson (Billy Cundiff kick),14,7
3,1:37,Browns,Derek Anderson 1 yard rush (Billy Cundiff kick),14,14
4,14:58,Browns,Billy Cundiff 26 yard field goal,14,17
,6:34,Browns,Billy Cundiff 31 yard field goal,14,20
,1:55,Bengals,Chad Johnson 2 yard pass from Carson Palmer (Shayne Graham kick failed),20,20
OT,0:04,Bengals,Shayne Graham 31 yard field goal,23,20
