Quarter,Time,Tm,Detail,NWE,SDG
1.0,10:41,Chargers,Nate Kaeding 25 yard field goal,0,3
,3:58,Chargers,Malcom Floyd 49 yard pass from Philip Rivers (Nate Kaeding kick),0,10
2.0,7:13,Patriots,Stephen Gostkowski 47 yard field goal,3,10
,1:07,Chargers,Vincent Jackson 4 yard pass from Philip Rivers (Nate Kaeding kick),3,17
3.0,7:07,Chargers,Antonio Gates 1 yard pass from Philip Rivers (Nate Kaeding kick),3,24
,4:20,Chargers,Nate Kaeding 35 yard field goal,3,27
4.0,10:50,Chargers,Nate Kaeding 23 yard field goal,3,30
,5:18,Patriots,Sammy Morris 1 yard rush (Stephen Gostkowski kick),10,30
