Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Philip Rivers pass complete deep right to Vincent Jackson for 48 yards (tackle by Deltha O'Neal),0.280,3.450
1,14:16,1,10,NWE 32,0,0,Philip Rivers pass complete short right to Antonio Gates for 5 yards (tackle by Deltha O'Neal),3.450,3.580
1,13:41,2,5,NWE 27,0,0,LaDainian Tomlinson right end for 2 yards (tackle by Rodney Harrison),3.580,3.140
1,12:59,3,3,NWE 25,0,0,Philip Rivers pass complete short left to Legedu Naanee for 6 yards (tackle by Rodney Harrison),3.140,4.310
1,12:30,1,10,NWE 19,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Jerod Mayo and Tedy Bruschi),4.310,4.030
1,11:45,2,8,NWE 17,0,0,Philip Rivers pass complete short middle to Vincent Jackson for 10 yards (tackle by Adalius Thomas),4.030,5.600
1,11:01,1,7,NWE 7,0,0,Philip Rivers pass incomplete,5.600,4.760
1,10:55,2,7,NWE 7,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates,4.760,3.810
1,10:50,3,7,NWE 7,0,0,Philip Rivers pass incomplete short left intended for Vincent Jackson. Penalty on Nick Hardwick: Offensive Holding (Declined),3.810,2.970
1,10:44,4,7,NWE 7,0,3,Nate Kaeding 25 yard field goal good,2.970,3.000
1,,,,SDG 30,0,3,"Nate Kaeding kicks off 66 yards, returned by Ellis Hobbs for 20 yards (tackle by Eric Weddle)",0.000,0.540
1,10:35,1,10,NWE 24,0,3,Matt Cassel pass complete short right to Wes Welker for 9 yards (tackle by Stephen Cooper),0.540,1.210
1,10:00,2,1,NWE 33,0,3,Sammy Morris up the middle for 7 yards (tackle by Eric Weddle),1.210,1.600
1,9:22,1,10,NWE 40,0,3,Matt Cassel pass complete short left to David Thomas for 13 yards (tackle by Quentin Jammer),1.600,2.460
1,8:45,1,10,SDG 47,0,3,Sammy Morris right end for 7 yards (tackle by Luis Castillo),2.460,2.860
1,8:09,2,3,SDG 40,0,3,Matt Cassel pass incomplete short right intended for David Thomas,2.860,2.150
1,8:03,3,3,SDG 40,0,3,Matt Cassel left end for 4 yards (tackle by Stephen Cooper),2.150,3.180
1,7:22,1,10,SDG 36,0,3,Matt Cassel pass incomplete deep right intended for Randy Moss (defended by Quentin Jammer),3.180,2.640
1,7:16,2,10,SDG 36,0,3,Sammy Morris left end for no gain (tackle by Stephen Cooper and Antwan Applewhite),2.640,1.950
1,6:34,3,10,SDG 36,0,3,Matt Cassel pass complete short middle to Wes Welker for 5 yards (tackle by Eric Weddle),1.950,1.350
1,5:56,4,5,SDG 31,0,3,Stephen Gostkowski 48 yard field goal no good,1.350,-1.470
1,5:53,1,10,SDG 38,0,3,Philip Rivers pass complete short right to Brandon Manumaleuna for 4 yards (tackle by Rodney Harrison),1.470,1.460
1,5:28,2,6,SDG 42,0,3,LaDainian Tomlinson up the middle for 2 yards (tackle by Adalius Thomas and Vince Wilfork),1.460,1.020
1,4:47,3,4,SDG 44,0,3,Philip Rivers pass complete short left to Antonio Gates for 7 yards (tackle by Rodney Harrison),1.020,2.320
1,4:06,1,10,NWE 49,0,9,"Philip Rivers pass complete deep middle to Malcom Floyd for 49 yards, touchdown",2.320,7.000
1,,,,NWE 2,0,10,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,10,"Nate Kaeding kicks off 64 yards, returned by Matt Slater for 16 yards (tackle by Kassim Osgood)",0.000,0.410
1,3:52,1,10,NWE 22,0,10,Matt Cassel pass incomplete short left intended for Sammy Morris,0.410,-0.130
1,3:49,2,10,NWE 22,0,10,Sammy Morris up the middle for 3 yards (tackle by Igor Olshansky),-0.130,-0.430
1,3:10,3,7,NWE 25,0,10,Matt Cassel pass incomplete short left intended for Ben Watson,-0.430,-1.700
1,3:06,4,7,NWE 25,0,10,"Chris Hanson punts 53 yards, returned by Darren Sproles for 21 yards (tackle by Larry Izzo). Penalty on Anthony Waters: Running Into the Kicker, 5 yards (no play)",-1.700,-1.370
1,2:56,4,2,NWE 30,0,10,"Chris Hanson punts 43 yards, returned by Darren Sproles for 28 yards (tackle by Chris Hanson)",-1.370,-2.590
1,2:43,1,10,NWE 45,0,10,LaDainian Tomlinson up the middle for 11 yards (tackle by Brandon Meriweather),2.590,3.310
1,2:04,1,10,NWE 34,0,10,LaDainian Tomlinson up the middle for 3 yards (tackle by Vince Wilfork and Richard Seymour),3.310,3.180
1,1:25,2,7,NWE 31,0,10,Philip Rivers pass complete short right to LaDainian Tomlinson for 5 yards (tackle by Jerod Mayo),3.180,3.140
1,0:51,3,2,NWE 26,0,10,Philip Rivers pass incomplete short left intended for Brandon Manumaleuna,3.140,1.860
1,0:45,4,2,NWE 26,0,10,Nate Kaeding 44 yard field goal no good,1.860,-1.200
1,0:42,1,10,NWE 34,0,10,Sammy Morris right tackle for 3 yards (tackle by Luis Castillo),1.200,1.060
1,0:10,2,7,NWE 37,0,10,Matt Cassel pass complete short left to Randy Moss for 6 yards (tackle by Antoine Cason),1.060,1.160
Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NWE 43,0,10,Matt Cassel up the middle for 3 yards (tackle by Jacques Cesaire and Stephen Cooper),1.160,1.990
2,14:30,1,10,NWE 46,0,10,Matt Cassel sacked by Igor Olshansky for 0 yards,1.990,1.450
2,13:45,2,10,NWE 46,0,10,Matt Cassel pass complete short left to Wes Welker for no gain,1.450,0.760
2,13:05,3,10,NWE 46,0,10,Matt Cassel pass complete short middle to Kevin Faulk for 7 yards (tackle by Quentin Jammer),0.760,0.130
2,12:20,4,3,SDG 47,0,10,Chris Hanson punts 44 yards,0.130,0.380
2,12:10,1,10,SDG 3,0,10,Mike Tolbert up the middle for 4 yards (tackle by Ty Warren),-0.380,-0.490
2,11:38,2,6,SDG 7,0,10,LaDainian Tomlinson up the middle for 3 yards (tackle by Richard Seymour),-0.490,-0.600
2,10:57,3,3,SDG 10,0,10,Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Ellis Hobbs),-0.600,-2.490
2,10:49,4,3,SDG 10,0,10,"Mike Scifres punts 33 yards, fair catch by Kevin Faulk",-2.490,-2.720
2,10:43,1,10,SDG 43,0,10,Matt Cassel pass complete short right to Sammy Morris for 7 yards (tackle by Jamal Williams),2.720,3.120
2,10:01,2,3,SDG 36,0,10,Sammy Morris left end for 1 yard (tackle by Ryon Bingham),3.120,2.540
2,9:23,3,2,SDG 35,0,10,Sammy Morris up the middle for 4 yards (tackle by Eric Weddle),2.540,3.510
2,8:39,1,10,SDG 31,0,10,Matt Cassel sacked by Stephen Cooper for -1 yards,3.510,2.830
2,8:04,2,11,SDG 32,0,10,Heath Evans up the middle for 3 yards (tackle by Ryon Bingham),2.830,2.540
2,7:24,3,8,SDG 29,0,10,Matt Cassel pass incomplete deep right intended for Randy Moss (defended by Quentin Jammer),2.540,1.500
2,7:18,4,8,SDG 29,3,10,Stephen Gostkowski 47 yard field goal good,1.500,3.000
2,,,,NWE 30,3,10,"Stephen Gostkowski kicks off 69 yards, returned by Darren Sproles for 23 yards (tackle by Larry Izzo)",0.000,0.540
2,7:08,1,10,SDG 24,3,10,Philip Rivers pass complete short left to LaDainian Tomlinson for 11 yards (tackle by Jerod Mayo),0.540,1.270
2,6:36,1,10,SDG 35,3,10,LaDainian Tomlinson for 1 yard (tackle by Ellis Hobbs),1.270,0.860
2,6:08,2,9,SDG 36,3,10,Philip Rivers pass complete short right to Vincent Jackson for 13 yards (tackle by Terrence Wheatley),0.860,2.190
2,5:41,1,10,SDG 49,3,10,LaDainian Tomlinson up the middle for -1 yards (tackle by Ty Warren),2.190,1.510
2,4:59,2,11,SDG 48,3,10,Philip Rivers pass incomplete deep middle intended for Vincent Jackson,1.510,0.830
2,4:55,3,11,SDG 48,3,10,Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Brandon Meriweather),0.830,-0.190
2,4:48,4,11,SDG 48,3,10,Mike Scifres punts 46 yards,-0.190,0.380
