Unnamed: 0,NWE,SDG
First Downs,18,19
Rush-Yds-TDs,26-106-1,28-98-0
Cmp-Att-Yd-TD-INT,22-38-203-0-1,18-27-306-3-0
Sacked-Yards,4-10,0-0
Net Pass Yards,193,306
Total Yards,299,404
Fumbles-Lost,2-0,1-1
Turnovers,1,1
Penalties-Yards,6-73,3-20
Third Down Conv.,5-14,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,31:34,28:26
