Quarter,Time,Tm,Detail,CHI,TAM
1.0,11:58,Buccaneers,Leonard Fournette 2 yard rush (Ryan Succop kick),0,7
,4:37,Buccaneers,Chris Godwin 4 yard pass from Tom Brady (Ryan Succop kick),0,14
,0:06,Buccaneers,Mike Evans 9 yard pass from Tom Brady (Ryan Succop kick),0,21
2.0,6:08,Bears,Cairo Santos 28 yard field goal,3,21
,3:35,Buccaneers,Mike Evans 2 yard pass from Tom Brady (Ryan Succop kick),3,28
,0:09,Buccaneers,Mike Evans 8 yard pass from Tom Brady (Ryan Succop kick),3,35
4.0,12:51,Buccaneers,Ryan Succop 22 yard field goal,3,38
