Unnamed: 0,CHI,TAM
First Downs,17,28
Rush-Yds-TDs,29-143-0,31-182-1
Cmp-Att-Yd-TD-INT,22-32-184-0-3,22-39-226-4-0
Sacked-Yards,4-16,0-0
Net Pass Yards,168,226
Total Yards,311,408
Fumbles-Lost,4-2,2-1
Turnovers,5,1
Penalties-Yards,4-32,1-10
Third Down Conv.,2-11,4-12
Fourth Down Conv.,0-1,1-2
Time of Possession,28:55,31:05
