Unnamed: 0,NOR,SEA
First Downs,15,26
Rush-Yds-TDs,23-88-1,26-108-2
Cmp-Att-Yd-TD-INT,19-27-177-2-0,32-50-406-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,177,406
Total Yards,265,514
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,11-70,7-53
Third Down Conv.,3-11,5-14
Fourth Down Conv.,1-1,1-4
Time of Possession,28:27,31:33
