Quarter,Time,Tm,Detail,NOR,SEA
1.0,12:06,Saints,Deonte Harty 53 yard punt return (Wil Lutz kick),7,0
,2:24,Seahawks,Tyler Lockett 8 yard pass from Russell Wilson (Jason Myers kick),7,7
2.0,6:50,Saints,Vonn Bell 33 yard fumble return (Wil Lutz kick failed),13,7
,0:33,Saints,Alvin Kamara 29 yard pass from Teddy Bridgewater (Wil Lutz kick),20,7
3.0,7:44,Saints,Michael Thomas 1 yard pass from Teddy Bridgewater (Wil Lutz kick),27,7
4.0,11:51,Seahawks,Russell Wilson 2 yard rush (Jason Myers kick),27,14
,4:19,Saints,Alvin Kamara 1 yard rush (run failed),33,14
,2:48,Seahawks,Russell Wilson 8 yard rush (Jason Myers kick),33,21
,0:00,Seahawks,Will Dissly 4 yard pass from Russell Wilson,33,27
