Quarter,Time,Tm,Detail,JAX,BAL
1.0,11:52,Ravens,Kamar Aiken 11 yard blocked punt return (Justin Tucker kick),0,7
,9:33,Jaguars,Josh Scobee 53 yard field goal,3,7
,1:18,Jaguars,Josh Scobee 45 yard field goal,6,7
2.0,11:33,Jaguars,Josh Scobee 53 yard field goal,9,7
,3:45,Ravens,Justin Tucker 22 yard field goal,9,10
,0:04,Jaguars,Josh Scobee 45 yard field goal,12,10
3.0,8:34,Ravens,Owen Daniels 3 yard pass from Joe Flacco (Justin Tucker kick),12,17
4.0,1:11,Ravens,Justin Tucker 33 yard field goal,12,20
