Unnamed: 0,JAX,BAL
First Downs,13,17
Rush-Yds-TDs,23-82-0,26-93-0
Cmp-Att-Yd-TD-INT,22-38-229-0-1,20-30-221-1-0
Sacked-Yards,8-63,0-0
Net Pass Yards,166,221
Total Yards,248,314
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,5-60,9-70
Third Down Conv.,5-18,4-12
Fourth Down Conv.,1-3,0-0
Time of Possession,31:42,28:18
