Unnamed: 0,MIN,DAL
First Downs,11,22
Rush-Yds-TDs,27-131-1,29-128-1
Cmp-Att-Yd-TD-INT,6-19-72-0-0,31-39-277-1-0
Sacked-Yards,3-7,3-24
Net Pass Yards,65,253
Total Yards,196,381
Fumbles-Lost,2-1,3-2
Turnovers,1,2
Penalties-Yards,4-36,4-22
Third Down Conv.,2-12,7-15
Fourth Down Conv.,1-1,0-1
Time of Possession,23:25,36:35
