Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 79 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Tony Romo pass complete short left to Deon Anderson for 5 yards (tackle by Cedric Griffin),0.280,0.410
1,14:25,2,5,DAL 25,0,0,Julius Jones right guard for 1 yard (tackle by Pat Williams),0.410,-0.160
1,13:42,3,4,DAL 26,0,0,Tony Romo pass complete short middle to Patrick Crayton for 12 yards (tackle by Mike Doss),-0.160,1.470
1,13:11,1,10,DAL 38,0,0,Julius Jones right tackle for 2 yards (tackle by Antoine Winfield),1.470,1.190
1,12:32,2,8,DAL 40,0,0,Tony Romo pass complete short left to Jason Witten for 5 yards (tackle by E.J. Henderson),1.190,1.160
1,11:44,3,3,DAL 45,0,0,Tony Romo pass complete short left to Julius Jones for 4 yards (tackle by Darren Sharper and Cedric Griffin),1.160,2.190
1,11:04,1,10,DAL 49,0,0,Tony Romo pass complete short left to Jason Witten for 2 yards (tackle by Tank Williams),2.190,1.920
1,10:37,2,8,MIN 49,0,0,Tony Romo pass complete short middle to Julius Jones for 6 yards (tackle by E.J. Henderson),1.920,2.010
1,9:54,3,2,MIN 43,0,0,Tony Romo pass complete deep right to Terrell Owens for 24 yards (tackle by Antoine Winfield),2.010,4.310
1,9:02,1,10,MIN 19,0,0,Julius Jones left tackle for 7 yards (tackle by Tank Williams and E.J. Henderson),4.310,4.920
1,8:19,2,3,MIN 12,0,0,Julius Jones right guard for 3 yards (tackle by Pat Williams),4.920,5.140
1,7:34,1,9,MIN 9,0,0,Tony Romo pass incomplete,5.140,4.380
1,7:28,2,9,MIN 9,0,0,Tony Romo pass complete short left to Anthony Fasano for 4 yards (tackle by Cedric Griffin),4.380,4.260
1,6:41,3,5,MIN 5,0,6,"Tony Romo pass complete short right to Terrell Owens for 5 yards, touchdown",4.260,7.000
1,6:41,,,MIN 2,0,7,Nick Folk kicks extra point good,0.000,0.000
1,6:41,,,DAL 30,0,7,"Nick Folk kicks off 66 yards, returned by Adrian L. Peterson for 27 yards (tackle by Evan Oglesby)",0.000,1.000
1,6:30,1,10,MIN 31,0,7,Chester Taylor up the middle for 12 yards (tackle by Roy Williams),1.000,1.800
1,5:55,1,10,MIN 43,0,7,Tarvaris Jackson pass complete short middle to Adrian L. Peterson for 12 yards (tackle by Bradie James),1.800,2.590
1,5:19,1,10,DAL 45,0,7,Tarvaris Jackson pass complete short right to Chester Taylor for 3 yards (tackle by Terence Newman),2.590,2.450
1,4:40,2,7,DAL 42,0,7,Adrian L. Peterson left end for no gain (tackle by Chris L. Canty),2.450,1.750
1,3:58,3,7,DAL 42,0,7,Tarvaris Jackson left end for 6 yards (tackle by Nate Jones),1.750,0.890
1,3:28,4,1,DAL 36,0,7,Adrian L. Peterson right tackle for 1 yard (tackle by Jason Hatcher),0.890,3.250
1,2:55,1,10,DAL 35,0,7,Chester Taylor right guard for 6 yards (tackle by Akin Ayodele),3.250,3.510
1,2:13,2,4,DAL 29,0,7,Chester Taylor up the middle for 3 yards (tackle by Akin Ayodele),3.510,3.200
1,1:31,3,1,DAL 26,0,7,Adrian L. Peterson up the middle for 6 yards (tackle by Bradie James and Greg Ellis),3.200,4.240
1,0:54,1,10,DAL 20,0,7,Tarvaris Jackson pass incomplete short right intended for Bobby Wade (defended by Jacques Reeves),4.240,3.690
1,0:49,2,10,DAL 20,6,7,"Adrian L. Peterson left tackle for 20 yards, touchdown",3.690,7.000
1,0:49,,,DAL 2,7,7,Ryan Longwell kicks extra point good,0.000,0.000
1,0:49,,,MIN 30,7,7,"Ryan Longwell kicks off 73 yards, touchback",0.000,0.280
1,0:43,1,10,DAL 20,7,7,Tony Romo sacked by Kevin Williams for -10 yards,0.280,-1.510
1,0:14,2,20,DAL 10,7,7,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Antoine Winfield),-1.510,-0.820
Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,DAL 21,7,7,Tony Romo pass complete short right to Terrell Owens for 9 yards (tackle by Marcus McCauley),-0.820,0.940
2,15:00,1,10,DAL 30,7,7,Marion Barber left tackle for 2 yards (tackle by Cedric Griffin and E.J. Henderson),0.940,0.660
2,13:56,2,8,DAL 32,7,7,Tony Romo pass complete short right to Anthony Fasano for 10 yards (tackle by Chad Greenway),0.660,1.730
2,13:17,1,10,DAL 42,7,7,Tony Romo pass complete short left to Jason Witten for 8 yards (tackle by Chad Greenway),1.730,2.270
2,12:33,2,2,MIN 50,7,7,Marion Barber left end for -1 yards (tackle by Ben Leber),2.270,1.420
2,11:43,3,3,DAL 49,7,7,Tony Romo pass incomplete deep right intended for Patrick Crayton (defended by Tank Williams),1.420,-0.130
2,11:36,4,3,DAL 49,7,7,"Mat McBriar punts 50 yards, out of bounds",-0.130,0.380
2,11:29,1,10,MIN 1,7,7,Tarvaris Jackson pass incomplete deep right intended for Troy Williamson,-0.380,-0.780
2,11:23,2,10,MIN 1,7,7,Tony Richardson up the middle for 1 yard (tackle by Chris L. Canty),-0.780,-1.300
2,10:43,3,9,MIN 2,7,7,Chester Taylor up the middle for 5 yards (tackle by Bradie James and Jay Ratliff),-1.300,-2.490
2,10:02,4,4,MIN 7,7,7,"Chris Kluwe punts 59 yards, returned by Patrick Crayton for 10 yards (tackle by Mike Doss)",-2.490,-1.860
2,9:49,1,10,DAL 44,7,7,Tony Romo pass complete short middle to Marion Barber for 4 yards (tackle by Ben Leber),1.860,1.860
2,9:14,2,6,DAL 48,7,7,Tony Romo pass complete short right to Terrell Owens for 11 yards (tackle by Tank Williams),1.860,2.850
2,8:30,1,10,MIN 41,7,7,Marion Barber right end for 11 yards (tackle by Marcus McCauley),2.850,3.580
2,8:05,1,10,MIN 30,7,7,Tony Romo pass complete short left to Jason Witten for 12 yards (tackle by Darren Sharper),3.580,4.370
2,7:35,1,10,MIN 18,7,7,Tony Romo pass complete short right to Deon Anderson for 11 yards (tackle by Antoine Winfield and Darren Sharper),4.370,5.600
2,6:46,1,7,MIN 7,7,7,Marion Barber right tackle for 3 yards (tackle by Chad Greenway and Darren Sharper),5.600,5.340
2,5:59,2,4,MIN 4,7,7,"Penalty on Marc Colombo: False Start, 5 yards (no play)",5.340,4.380
2,5:35,2,9,MIN 9,7,7,Tony Romo pass incomplete short left intended for Patrick Crayton,4.380,3.360
2,5:30,3,9,MIN 9,7,7,"Tony Romo sacked by Kenechi Udeze for -8 yards. Tony Romo fumbles (forced by Kenechi Udeze), recovered by Kevin Williams at MIN-16 and returned for 84 yards. Penalty on Ray Edwards: Offensive Holding, 10 yards",3.360,-0.340
,,,,,,,"DAL challenged the fumble ruling, and the play was upheld.",,
