Quarter,Time,Tm,Detail,MIN,DAL
1.0,6:36,Cowboys,Terrell Owens 5 yard pass from Tony Romo (Nick Folk kick),0,7
,0:43,Vikings,Adrian Peterson 20 yard rush (Ryan Longwell kick),7,7
2.0,1:39,Vikings,Cedric Griffin 50 yard defensive fumble return (Ryan Longwell kick),14,7
3.0,6:55,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),14,14
,2:52,Cowboys,Pat Watkins 68 yard blocked field goal return (Nick Folk kick),14,21
4.0,10:34,Cowboys,Nick Folk 45 yard field goal,14,24
