Quarter,Time,Tm,Detail,SFO,CAR
1.0,11:21,49ers,Phil Dawson 29 yard field goal,3,0
,4:04,Panthers,Shaq Thompson 9 yard defensive fumble return (Graham Gano kick),3,7
2.0,10:02,49ers,Torrey Smith 28 yard pass from Blaine Gabbert (Phil Dawson kick),10,7
,9:40,Panthers,Greg Olsen 78 yard pass from Cam Newton (Graham Gano kick),10,14
,0:01,Panthers,Graham Gano 39 yard field goal,10,17
3.0,8:38,Panthers,Kelvin Benjamin 10 yard pass from Cam Newton (Graham Gano kick),10,24
,4:56,Panthers,Kelvin Benjamin 9 yard pass from Cam Newton (Graham Gano kick),10,31
4.0,12:38,49ers,Phil Dawson 39 yard field goal,13,31
,12:31,49ers,Blaine Gabbert 1 yard rush (Phil Dawson kick),20,31
,8:07,Panthers,Graham Gano 31 yard field goal,20,34
,7:51,49ers,Vance McDonald 75 yard pass from Blaine Gabbert (Phil Dawson kick),27,34
,4:08,Panthers,Graham Gano 49 yard field goal,27,37
,3:31,Panthers,Devin Funchess 16 yard pass from Cam Newton (Graham Gano kick failed),27,43
,1:06,Panthers,Graham Gano 41 yard field goal,27,46
