Unnamed: 0,SFO,CAR
First Downs,16,26
Rush-Yds-TDs,26-65-1,37-176-0
Cmp-Att-Yd-TD-INT,17-36-243-2-2,24-40-353-4-1
Sacked-Yards,2-6,1-0
Net Pass Yards,237,353
Total Yards,302,529
Fumbles-Lost,1-1,3-3
Turnovers,3,4
Penalties-Yards,6-50,8-50
Third Down Conv.,4-14,7-15
Fourth Down Conv.,0-1,0-0
Time of Possession,24:06,35:54
