Unnamed: 0,BAL,CLE
First Downs,26,12
Rush-Yds-TDs,20-111-0,30-99-1
Cmp-Att-Yd-TD-INT,34-53-307-1-1,10-18-204-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,307,204
Total Yards,418,303
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,7-41,6-41
Third Down Conv.,7-14,5-12
Fourth Down Conv.,1-3,0-0
Time of Possession,34:29,25:31
