Quarter,Time,Tm,Detail,BAL,CLE
1.0,9:46,Browns,Joe Jurevicius 2 yard pass from Derek Anderson (Phil Dawson kick),0,7
,5:46,Browns,Braylon Edwards 78 yard pass from Derek Anderson (Phil Dawson kick),0,14
2.0,12:45,Ravens,Matt Stover 21 yard field goal,3,14
,9:17,Browns,Phil Dawson 41 yard field goal,3,17
,4:52,Browns,Jamal Lewis 1 yard rush (Phil Dawson kick),3,24
,0:52,Ravens,Matt Stover 29 yard field goal,6,24
3.0,4:12,Browns,Phil Dawson 20 yard field goal,6,27
4.0,7:14,Ravens,Quinn Sypniewski 4 yard pass from Steve McNair (Matt Stover kick),13,27
