Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 66 yards, returned by Josh Cribbs for 41 yards (tackle by Ronnie Prude)",0.000,1.930
1,14:52,1,10,CLE 45,0,0,Jamal Lewis left guard for 1 yard (tackle by Kelly Gregg),1.930,1.520
1,14:14,2,9,CLE 46,0,0,Derek Anderson pass complete short middle to Joe Jurevicius for 8 yards (tackle by Dawan Landry),1.520,1.880
1,13:37,3,1,BAL 46,0,0,Lawrence Vickers right tackle for 6 yards (tackle by Ray Lewis),1.880,2.920
1,12:54,1,10,BAL 40,0,0,Jamal Lewis right guard for 2 yards (tackle by Bart Scott),2.920,2.640
1,12:13,2,8,BAL 38,0,0,"Jamal Lewis right tackle for 7 yards (tackle by Ray Lewis). Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",2.640,3.320
1,11:50,2,3,BAL 33,0,0,Jamal Lewis right tackle for no gain (tackle by Ray Lewis),3.320,2.610
1,11:09,3,3,BAL 33,0,0,Derek Anderson pass complete short right to Kellen Winslow Jr. for 25 yards (tackle by Dawan Landry),2.610,5.370
1,10:40,1,8,BAL 8,0,0,Derek Anderson pass incomplete short left intended for Braylon Edwards,5.370,4.570
1,10:36,2,8,BAL 8,0,0,Derek Anderson pass complete short middle to Braylon Edwards for 6 yards (tackle by Jarret Johnson),4.570,4.950
1,9:52,3,2,BAL 2,0,6,"Derek Anderson pass complete short right to Joe Jurevicius for 2 yards, touchdown",4.950,7.000
1,,,,BAL 2,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,7,"Phil Dawson kicks off 69 yards, returned by Yamon Figurs for 23 yards (tackle by Mike Adams)",0.000,0.540
1,9:41,1,10,BAL 24,0,7,Steve McNair pass complete short left to Demetrius Williams for 15 yards (tackle by Daven Holly),0.540,1.530
1,9:03,1,10,BAL 39,0,7,Steve McNair pass incomplete deep middle intended for Todd Heap,1.530,0.990
1,8:57,2,10,BAL 39,0,7,Steve McNair pass complete short left to Daniel Wilcox for 2 yards (tackle by Leigh Bodden),0.990,0.560
1,8:13,3,8,BAL 41,0,7,"Steve McNair pass incomplete short middle intended for Demetrius Williams. Penalty on Daven Holly: Defensive Pass Interference, 6 yards (no play)",0.560,2.060
1,8:09,1,10,BAL 47,0,7,Willis McGahee left guard for 5 yards (tackle by Shaun Smith),2.060,2.190
1,7:28,2,5,CLE 48,0,7,Willis McGahee left tackle for 2 yards (tackle by Daven Holly and Leon Williams),2.190,1.750
1,6:47,3,3,CLE 46,0,7,Steve McNair pass complete short middle to Mark Clayton for 19 yards (tackle by Mike Adams),1.750,3.780
1,6:06,1,10,CLE 27,0,7,"Steve McNair pass incomplete short left intended for Todd Heap is intercepted by Leigh Bodden at CLE-15 and returned for 12 yards (tackle by Daniel Wilcox). Leigh Bodden fumbles (forced by Daniel Wilcox), ball out of bounds at CLE-22",3.780,-0.410
1,5:55,1,10,CLE 22,0,13,"Derek Anderson pass complete deep left to Braylon Edwards for 78 yards, touchdown",0.410,7.000
1,,,,BAL 2,0,14,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,14,"Phil Dawson kicks off 71 yards, returned by Yamon Figurs for 27 yards (tackle by Josh Cribbs)",0.000,0.670
1,5:40,1,10,BAL 26,0,14,Willis McGahee right guard for 11 yards (tackle by Sean Jones),0.670,1.400
1,5:02,1,10,BAL 37,0,14,Willis McGahee left tackle for 2 yards (tackle by Robaire Smith and Andra Davis),1.400,1.130
1,4:21,2,8,BAL 39,0,14,Willis McGahee right guard for 14 yards (tackle by D'Qwell Jackson),1.130,2.460
1,3:36,1,10,CLE 47,0,14,Steve McNair pass complete short right to Demetrius Williams for 12 yards (tackle by Eric Wright),2.460,3.250
1,3:10,1,10,CLE 35,0,14,Musa Smith right guard for 3 yards (tackle by Ethan Kelley),3.250,3.110
1,3:10,2,7,CLE 32,0,14,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",3.110,2.430
1,1:59,2,12,CLE 37,0,14,Steve McNair pass incomplete short left intended for Mark Clayton (defended by Andra Davis),2.430,1.750
1,1:54,,,,0,14,Timeout #1 by Baltimore Ravens,0.000,1.750
1,1:54,3,12,CLE 37,0,14,Steve McNair pass complete short left to Derrick Mason for 9 yards (tackle by Leigh Bodden),1.750,1.680
1,1:46,4,3,CLE 28,0,14,Matt Stover 46 yard field goal no good,1.680,-1.330
1,1:43,1,10,CLE 36,0,14,Jamal Lewis right guard for 5 yards (tackle by Kelly Gregg),1.330,1.470
1,1:10,2,5,CLE 41,0,14,--,1.470,1.030
1,0:26,3,3,CLE 43,0,14,Derek Anderson pass incomplete short middle intended for Joe Jurevicius is intercepted by Ed Reed at CLE-44 and returned for 20 yards (tackle by Hank Fraley),1.030,-3.970
1,0:12,1,10,CLE 24,0,14,Willis McGahee right tackle for 5 yards (tackle by Kamerion Wimbley),3.970,4.120
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,CLE 19,0,14,Steve McNair pass complete short right to Derrick Mason for 8 yards (tackle by Eric Wright),4.120,4.840
2,14:20,1,10,CLE 11,0,14,Steve McNair pass incomplete short left intended for Demetrius Williams,4.840,4.140
2,14:14,2,10,CLE 11,0,14,Musa Smith left guard for 2 yards (tackle by Andra Davis and Willie McGinest),4.140,3.530
2,13:31,3,8,CLE 9,0,14,Steve McNair pass complete short middle to Derrick Mason for 6 yards (tackle by Leigh Bodden),3.530,3.050
2,12:48,4,2,CLE 3,3,14,Matt Stover 21 yard field goal good,3.050,3.000
2,,,,BAL 30,3,14,"Matt Stover kicks off 69 yards, returned by Josh Cribbs for 28 yards (tackle by Derrick Martin)",0.000,0.870
2,12:38,1,10,CLE 29,3,14,Jamal Lewis left guard for 2 yards (tackle by Kelly Gregg and Ray Lewis),0.870,0.600
2,12:00,2,8,CLE 31,3,14,Jamal Lewis right guard for 28 yards (tackle by Ed Reed),0.600,2.850
2,11:34,1,10,BAL 41,3,14,Jamal Lewis right guard for 2 yards (tackle by Jarret Johnson and Bart Scott),2.850,2.580
2,10:52,2,8,BAL 39,3,14,Jason Wright left tackle for 15 yards (tackle by Ed Reed),2.580,3.970
2,10:09,1,10,BAL 24,3,14,Jamal Lewis right guard for 2 yards (tackle by Dwan Edwards),3.970,3.700
2,9:32,2,8,BAL 22,3,14,Derek Anderson pass incomplete short right intended for Lawrence Vickers,3.700,3.010
2,9:26,3,8,BAL 22,3,14,Derek Anderson pass incomplete short right intended for Kellen Winslow Jr.,3.010,1.990
2,9:21,4,8,BAL 22,3,17,Phil Dawson 41 yard field goal good,1.990,3.000
2,,,,CLE 30,3,17,"Phil Dawson kicks off 67 yards, returned by Yamon Figurs for 24 yards (tackle by Darnell Dinkins). Yamon Figurs fumbles (forced by Darnell Dinkins), recovered by David McMillan at BAL-31",0.000,-3.510
2,9:10,1,10,BAL 31,3,17,Jamal Lewis left guard for 4 yards (tackle by Terrell Suggs),3.510,3.510
2,8:33,2,6,BAL 27,3,17,Jamal Lewis right guard for 2 yards (tackle by Haloti Ngata and Terrell Suggs),3.510,3.070
2,7:47,3,4,BAL 25,3,17,Derek Anderson pass incomplete short middle intended for Kellen Winslow Jr.,3.070,1.880
2,7:43,4,4,BAL 25,3,17,"Phil Dawson 42 yard field goal no good. Penalty on Ed Reed: Neutral Zone Infraction, 5 yards (no play)",1.880,4.240
2,7:39,1,10,BAL 20,3,17,"Derek Anderson pass incomplete short right intended for Lawrence Vickers. Penalty on Joe Thomas: Illegal Formation, 5 yards (no play)",4.240,3.910
2,7:35,1,15,BAL 25,3,17,Jamal Lewis left tackle for 1 yard (tackle by Bart Scott),3.910,3.150
2,6:55,2,14,BAL 24,3,17,Derek Anderson pass complete short middle to Kellen Winslow Jr. for 11 yards (tackle by Ray Lewis),3.150,4.100
2,6:11,3,3,BAL 13,3,17,Jason Wright right guard for 12 yards (tackle by Derrick Martin),4.100,6.970
2,5:29,1,1,BAL 1,3,17,Jamal Lewis right guard for no gain (tackle by Bart Scott and Ray Lewis),6.970,5.910
2,4:57,2,1,BAL 1,3,23,"Jamal Lewis right guard for 1 yard, touchdown",5.910,7.000
2,,,,BAL 2,3,24,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,3,24,"Phil Dawson kicks off 69 yards, returned by Yamon Figurs for 20 yards (tackle by Kris Griffin)",0.000,0.340
2,4:47,1,10,BAL 21,3,24,"Willis McGahee for 4 yards (tackle by D'Qwell Jackson). Penalty on Daniel Wilcox: Offensive Holding (Offsetting), Penalty on Ted Washington: Defensive Holding (Offsetting) (no play)",0.340,0.340
2,4:16,1,10,BAL 21,3,24,Willis McGahee left tackle for 28 yards (tackle by Eric Wright),0.340,2.190
2,3:29,1,10,BAL 49,3,24,"Musa Smith right tackle for no gain (tackle by Kamerion Wimbley). Penalty on Sean Jones: Face Mask (15 Yards), 15 yards",2.190,3.180
2,2:59,1,10,CLE 36,3,24,Steve McNair pass incomplete short left intended for Derrick Mason (defended by Robaire Smith),3.180,2.640
2,2:55,2,10,CLE 36,3,24,Musa Smith right guard for no gain (tackle by Eric Wright),2.640,1.950
2,2:15,,,,3,24,Timeout #2 by Baltimore Ravens,0.000,1.950
2,2:15,3,10,CLE 36,3,24,Steve McNair pass complete short left to Todd Heap for 15 yards (tackle by Brodney Pool),1.950,4.170
2,2:00,1,10,CLE 21,3,24,Steve McNair pass complete short left to Todd Heap for 9 yards (tackle by Daven Holly),4.170,5.160
2,1:54,2,1,CLE 12,3,24,Willis McGahee left guard for 1 yard (tackle by Andra Davis and Antwan Peek),5.160,4.840
2,1:08,,,,3,24,Timeout #3 by Baltimore Ravens,0.000,4.840
2,1:08,1,10,CLE 11,3,24,Steve McNair pass incomplete short middle intended for Daniel Wilcox,4.840,4.140
2,1:04,2,10,CLE 11,3,24,Steve McNair pass incomplete short left intended for Demetrius Williams,4.140,3.130
2,1:00,3,10,CLE 11,3,24,Steve McNair pass incomplete short middle intended for Todd Heap (defended by Brodney Pool),3.130,2.700
2,0:56,4,10,CLE 11,6,24,Matt Stover 29 yard field goal good,2.700,3.000
2,,,,BAL 30,6,24,"Matt Stover kicks off 69 yards, returned by Josh Cribbs for 25 yards (tackle by Nick Greisen)",0.000,0.670
2,0:46,1,10,CLE 26,6,24,Derek Anderson kneels for -1 yards,0.670,-0.010
2,0:13,2,11,CLE 25,6,24,Derek Anderson kneels for -1 yards,-0.010,-0.820
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,6,24,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,BAL 20,6,24,Steve McNair pass complete short left to Demetrius Williams for 11 yards (tackle by Daven Holly),0.280,1.000
3,14:20,1,10,BAL 31,6,24,Willis McGahee right guard for no gain (tackle by Shaun Smith),1.000,0.460
3,13:38,2,10,BAL 31,6,24,Steve McNair pass complete short right to Todd Heap for 9 yards (tackle by Eric Wright),0.460,0.960
3,12:54,3,1,BAL 40,6,24,Steve McNair pass complete short right to Willis McGahee for 30 yards (tackle by Sean Jones),0.960,3.580
3,12:19,1,10,CLE 30,6,24,Musa Smith right guard for no gain (tackle by Shaun Smith),3.580,3.030
3,11:40,2,10,CLE 30,6,24,Steve McNair pass complete short left to Quinn Sypniewski for 7 yards (tackle by Leigh Bodden),3.030,3.270
3,10:55,3,3,CLE 23,6,24,Steve McNair pass complete short right to Derrick Mason for 4 yards (tackle by Brodney Pool),3.270,4.310
3,10:18,1,10,CLE 19,6,24,"Willis McGahee left guard for 2 yards (tackle by D'Qwell Jackson). Penalty on Le'Ron McClain: Offensive Holding, 10 yards (no play)",4.310,3.640
3,9:46,1,20,CLE 29,6,24,Steve McNair pass incomplete short left intended for Todd Heap (defended by D'Qwell Jackson),3.640,2.410
3,9:40,2,20,CLE 29,6,24,Steve McNair pass incomplete short left intended for Mark Clayton (defended by Daven Holly),2.410,1.750
3,9:36,3,20,CLE 29,6,24,Steve McNair pass complete short right to Derrick Mason for 6 yards (tackle by Eric Wright),1.750,1.930
3,8:54,4,14,CLE 23,6,24,Matt Stover 41 yard field goal no good,1.930,-1.000
3,8:49,1,10,CLE 31,6,24,Jamal Lewis left guard for 2 yards (tackle by Bart Scott),1.000,0.730
3,8:10,2,8,CLE 33,6,24,Derek Anderson pass complete short left to Braylon Edwards for 13 yards (tackle by Ed Reed),0.730,1.990
3,7:43,1,10,CLE 46,6,24,Jamal Lewis right guard for 2 yards (tackle by Bart Scott),1.990,1.720
3,7:03,2,8,CLE 48,6,24,Derek Anderson pass complete short right to Steve Heiden for 1 yard (tackle by Dawan Landry),1.720,1.160
3,6:20,3,7,CLE 49,6,24,Derek Anderson pass complete short left to Kellen Winslow Jr. for 49 yards (tackle by Dawan Landry). Penalty on Gerome Sapp: Illegal Contact (Declined),1.160,6.740
3,5:50,1,2,BAL 2,6,24,Jamal Lewis right guard for no gain (tackle by Jarret Johnson and Kelly Gregg),6.740,5.720
3,5:09,2,2,BAL 2,6,24,"Derek Anderson pass incomplete short right intended for Kellen Winslow Jr.. Penalty on Kelly Gregg: Defensive Offside, 1 yards (no play)",5.720,5.910
3,5:04,2,1,BAL 1,6,24,Jamal Lewis left guard for -2 yards (tackle by Terrell Suggs),5.910,4.720
3,5:04,3,3,BAL 3,6,24,Derek Anderson pass incomplete short left intended for Braylon Edwards (defended by Chris McAlister),4.720,3.040
3,4:16,4,3,BAL 3,6,27,Phil Dawson 20 yard field goal good,3.040,3.000
3,,,,CLE 30,6,27,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,4:12,1,10,BAL 20,6,27,Willis McGahee right guard for 5 yards (tackle by Andra Davis and Shaun Smith),0.280,0.410
3,3:31,2,5,BAL 25,6,27,Steve McNair pass complete short right to Todd Heap for 3 yards (tackle by Leon Williams),0.410,0.100
3,2:46,3,2,BAL 28,6,27,Steve McNair pass complete short middle to Derrick Mason for 5 yards (tackle by Leigh Bodden),0.100,1.140
3,2:08,1,10,BAL 33,6,27,Willis McGahee right guard for 3 yards (tackle by Andra Davis),1.140,1.000
3,1:32,2,7,BAL 36,6,27,Steve McNair pass complete deep left to Demetrius Williams for 17 yards (tackle by Daven Holly),1.000,2.460
3,1:02,1,10,CLE 47,6,27,Steve McNair left end for 2 yards (tackle by D'Qwell Jackson),2.460,2.180
3,0:20,2,8,CLE 45,6,27,Steve McNair pass incomplete short right intended for Derrick Mason,2.180,1.490
3,0:20,3,8,CLE 45,6,27,"Penalty on Robaire Smith: Encroachment, 5 yards (no play)",1.490,2.150
3,0:15,3,3,CLE 40,6,27,Steve McNair pass incomplete short left intended for Musa Smith,2.150,0.590
3,0:10,4,3,CLE 40,6,27,Steve McNair pass incomplete short right intended for Daniel Wilcox (defended by Leigh Bodden),0.590,-1.600
3,0:04,1,10,CLE 40,6,27,Jamal Lewis left tackle for 8 yards (tackle by Corey Ivy),1.600,2.130
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,CLE 48,6,27,Jamal Lewis right guard for -3 yards (tackle by Justin Bannan),2.130,1.030
4,14:24,3,5,CLE 45,6,27,"Penalty on Kellen Winslow Jr.: False Start, 5 yards (no play)",1.030,0.370
4,13:56,3,10,CLE 40,6,27,Derek Anderson pass incomplete short right intended for Jason Wright (defended by Bart Scott),0.370,-0.720
4,13:51,4,10,CLE 40,6,27,"Scott Player punts 53 yards, returned by Yamon Figurs for 8 yards (tackle by Leon Williams)",-0.720,0.220
4,13:41,1,10,BAL 15,6,27,Steve McNair pass complete short left to Willis McGahee for 2 yards (tackle by Daven Holly),-0.220,-0.440
4,12:55,2,8,BAL 17,6,27,Steve McNair pass complete short left to Derrick Mason for 11 yards (tackle by Daven Holly),-0.440,0.810
4,12:21,1,10,BAL 28,6,27,Willis McGahee right guard for 19 yards (tackle by D'Qwell Jackson and Brodney Pool),0.810,2.060
4,11:47,1,10,BAL 47,6,27,Steve McNair pass complete short right to Quinn Sypniewski for 5 yards (tackle by Leon Williams),2.060,2.190
4,11:22,2,5,CLE 48,6,27,Steve McNair pass complete short right to Derrick Mason for 10 yards,2.190,3.050
4,10:58,1,10,CLE 38,6,27,Willis McGahee left guard for 4 yards (tackle by Leon Williams and Shaun Smith),3.050,3.050
4,10:20,2,6,CLE 34,6,27,Steve McNair pass incomplete deep left intended for Devard Darling,3.050,2.340
4,10:15,3,6,CLE 34,6,27,Steve McNair pass complete short right to Demetrius Williams for 8 yards (tackle by Eric Wright),2.340,3.840
4,9:38,1,10,CLE 26,6,27,Steve McNair pass complete short middle to Musa Smith for 5 yards (tackle by Leigh Bodden),3.840,3.970
4,9:04,2,5,CLE 21,6,27,Steve McNair pass complete short right to Quinn Sypniewski for 2 yards (tackle by Leon Williams),3.970,3.570
4,8:30,3,3,CLE 19,6,27,Steve McNair pass complete short right to Mark Clayton for 10 yards (tackle by Eric Wright),3.570,5.140
4,7:55,1,9,CLE 9,6,27,Willis McGahee left guard for 5 yards (tackle by Chaun Thompson),5.140,5.340
4,7:19,2,4,CLE 4,12,27,"Steve McNair pass complete short right to Quinn Sypniewski for 4 yards, touchdown",5.340,7.000
4,,,,CLE 2,13,27,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,13,27,"Matt Stover kicks off 56 yards, returned by Jason Wright for 20 yards (tackle by Gary Stills)",0.000,1.200
4,7:07,1,10,CLE 34,13,27,Derek Anderson pass complete short left to Kellen Winslow Jr. for 11 yards (tackle by Corey Ivy),1.200,1.930
4,6:32,1,10,CLE 45,13,27,Jamal Lewis right tackle for 3 yards (tackle by Bart Scott and Terrell Suggs),1.930,1.790
4,5:48,2,7,CLE 48,13,27,Derek Anderson pass incomplete short right intended for Lawrence Vickers,1.790,1.090
4,5:44,3,7,CLE 48,13,27,Derek Anderson left tackle for 2 yards (tackle by Dawan Landry),1.090,-0.060
4,5:36,,,,13,27,Timeout #1 by Baltimore Ravens,0.000,-0.060
4,5:36,4,5,,13,27,Scott Player punts 31 yards,-0.060,-0.150
4,5:30,1,10,BAL 19,13,27,Steve McNair pass complete short left to Quinn Sypniewski for 9 yards (tackle by D'Qwell Jackson),0.150,0.880
4,5:06,2,1,BAL 28,13,27,Steve McNair pass complete short left to Musa Smith for 10 yards (tackle by Leigh Bodden),0.880,1.470
4,4:42,1,10,BAL 38,13,27,Steve McNair pass incomplete deep middle intended for Derrick Mason,1.470,0.920
4,4:37,2,10,BAL 38,13,27,Steve McNair pass complete short middle to Quinn Sypniewski for 7 yards (tackle by D'Qwell Jackson),0.920,1.160
4,4:28,,,,13,27,Timeout #2 by Baltimore Ravens,0.000,1.160
4,4:28,3,3,BAL 45,13,27,Steve McNair pass incomplete short right intended for Mark Clayton,1.160,-0.390
4,4:24,4,3,BAL 45,13,27,Steve McNair pass complete short left to Derrick Mason for 8 yards (tackle by Daven Holly),-0.390,2.460
4,3:59,1,10,CLE 47,13,27,Steve McNair pass complete short middle to Mark Clayton for 14 yards (tackle by D'Qwell Jackson),2.460,3.380
4,3:34,1,10,CLE 33,13,27,"Steve McNair pass incomplete. Penalty on Steve McNair: Intentional Grounding, 10 yards",3.380,1.490
4,3:34,2,20,CLE 43,13,27,"Penalty on Jason Brown: False Start, 5 yards (no play)",1.490,0.810
4,3:29,2,25,CLE 48,13,27,Steve McNair pass complete short left to Musa Smith for 4 yards (tackle by D'Qwell Jackson),0.810,0.700
4,2:50,3,21,CLE 44,13,27,Steve McNair pass incomplete short right intended for Musa Smith (defended by Simon Fraser),0.700,0.330
4,2:45,,,,13,27,Timeout #1 by Cleveland Browns,0.000,0.330
4,2:45,4,21,CLE 44,13,27,Steve McNair pass incomplete deep left intended for Mark Clayton (defended by Daven Holly),0.330,-1.860
,,,,,,,"BAL challenged the pass completion ruling, and the play was upheld.",,
4,2:38,1,10,CLE 44,13,27,Jamal Lewis right tackle for 1 yard (tackle by Ray Lewis),1.860,1.450
4,2:00,2,9,CLE 45,13,27,Jamal Lewis right guard for 2 yards (tackle by Kelly Gregg),1.450,1.030
4,1:18,3,7,CLE 47,13,27,Jamal Lewis right guard for 1 yard (tackle by Dawan Landry and Bart Scott),1.030,-0.190
4,0:32,,,,13,27,Timeout #2 by Cleveland Browns,0.000,-0.190
4,0:32,4,6,CLE 48,13,27,"Penalty on Mike Adams: False Start, 5 yards (no play)",-0.190,-0.520
4,0:32,4,11,CLE 43,13,27,Scott Player punts 44 yards,-0.520,0.320
4,0:23,1,10,BAL 13,13,27,Steve McNair pass complete short right to Derrick Mason for 11 yards (tackle by Eric Wright),-0.320,0.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
