#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:36,TEN 33,4,2:36,19,Fumble
2,1,10:00,TEN 42,6,3:45,58,Touchdown
3,1,4:16,TEN 30,7,4:16,21,Interception
4,2,11:15,TEN 23,3,1:05,0,Punt
5,2,8:44,TEN 18,3,2:04,8,Punt
6,2,2:53,TEN 43,4,0:56,9,Downs
7,2,1:31,TEN 45,8,1:31,43,Field Goal
8,3,15:00,TEN 20,3,1:23,11,Interception
9,3,10:08,TEN 21,7,3:12,57,Field Goal
10,3,5:49,TEN 39,5,1:34,16,Punt
11,4,13:39,TEN 40,7,2:56,31,Missed FG
12,4,6:50,TEN 12,5,2:35,10,Interception
13,4,3:20,TEN 19,4,0:56,0,Downs
14,4,1:00,TEN 12,2,1:00,-3,End of Game
