Quarter,Time,Tm,Detail,ATL,TEN
1.0,10:00,Falcons,DeAngelo Hall 56 yard defensive fumble return (Morten Andersen kick),7,0
,6:15,Titans,Chris Brown 3 yard rush (Rob Bironas kick),7,7
2.0,11:15,Falcons,Morten Andersen 32 yard field goal,10,7
,0:00,Titans,Rob Bironas 30 yard field goal,10,10
3.0,10:08,Falcons,Morten Andersen 28 yard field goal,13,10
,6:56,Titans,Rob Bironas 40 yard field goal,13,13
,1:00,Titans,Vincent Fuller 76 yard interception return (Rob Bironas kick),13,20
