Unnamed: 0,ATL,TEN
First Downs,9,20
Rush-Yds-TDs,22-99-0,32-92-1
Cmp-Att-Yd-TD-INT,18-39-115-0-2,20-33-157-0-3
Sacked-Yards,2-16,0-0
Net Pass Yards,99,157
Total Yards,198,249
Fumbles-Lost,1-0,2-2
Turnovers,2,5
Penalties-Yards,8-66,6-40
Third Down Conv.,4-18,6-13
Fourth Down Conv.,1-2,0-2
Time of Possession,30:11,29:49
