#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ATL 23,3,2:24,0,Punt
2,1,6:15,ATL 20,3,1:59,-3,Punt
3,2,15:00,ATL 24,8,3:45,62,Field Goal
4,2,10:10,ATL 29,3,1:26,8,Punt
5,2,6:40,ATL 25,7,3:47,40,Missed FG
6,2,1:57,ATL 48,3,0:26,3,Punt
7,3,13:37,TEN 22,7,3:29,12,Field Goal
8,3,6:56,TEN 25,4,1:07,-5,Missed FG
9,3,4:15,ATL 10,3,2:05,6,Punt
10,3,2:10,TEN 42,5,1:10,10,Interception
11,3,1:00,TEN 45,7,2:21,13,Missed FG
12,4,10:43,ATL 37,7,3:53,28,Punt
13,4,4:15,TEN 21,3,0:55,-1,Interception
14,4,2:24,TEN 19,5,1:24,7,Downs
