Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 70 yards, returned by Jerious Norwood for 23 yards (tackle by Donnie Nickey)",0.000,0.480
1,14:55,1,10,ATL 23,0,0,Roddy White right end for -2 yards (tackle by Kyle Vanden Bosch),0.480,-0.340
1,14:17,2,12,ATL 21,0,0,"Joey Harrington pass complete short left to Joe Horn for 2 yards (tackle by Cortland Finnegan). Penalty on Antwan Odom: Defensive Offside, 5 yards (no play)",-0.340,0.340
1,13:47,,,,0,0,Timeout #1 by Atlanta Falcons,0.000,0.340
1,13:47,2,7,ATL 26,0,0,Warrick Dunn up the middle for 2 yards (tackle by Tony Brown),0.340,-0.100
1,13:11,3,5,ATL 28,0,0,"Penalty on Todd Weiner: False Start, 5 yards (no play)",-0.100,-0.760
1,12:50,3,10,ATL 23,0,0,Joey Harrington pass incomplete short right intended for Warrick Dunn,-0.760,-1.830
1,12:47,4,10,ATL 23,0,0,"Michael Koenen punts 51 yards, returned by Chris Davis for 7 yards (tackle by Michael Boley)",-1.830,-1.140
1,12:36,1,10,TEN 33,0,0,LenDale White left tackle for 6 yards (tackle by Lewis Sanders and Michael Boley),1.140,1.400
1,11:55,2,4,TEN 39,0,0,LenDale White right tackle for -2 yards (tackle by Grady Jackson),1.400,0.430
1,11:14,3,6,TEN 37,0,0,Vince Young pass complete short left to Justin Gage for 8 yards (tackle by Lewis Sanders),0.430,1.930
1,10:36,1,10,TEN 45,0,0,"Vince Young pass complete short left to Brandon Jones for 5 yards (tackle by Lewis Sanders). Penalty on Lewis Sanders: Defensive Pass Interference, 6 yards (no play)",1.930,2.320
1,10:12,1,10,ATL 49,6,0,"LenDale White right end for 1 yard (tackle by Jamaal Anderson). LenDale White fumbles (forced by Jamaal Anderson), recovered by DeAngelo Hall at ATL-44 and returned for 56 yards, touchdown",2.320,-7.000
1,,,,TEN 2,7,0,Morten Andersen kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Michael Koenen kicks off 62 yards, returned by Michael Griffin for 34 yards (tackle by David Irons)",0.000,1.730
1,9:54,1,10,TEN 42,7,0,Vince Young pass complete short right to Ben Troupe for 13 yards (tackle by Lawyer Milloy),1.730,2.590
1,9:14,1,10,ATL 45,7,0,LenDale White left guard for 8 yards (tackle by Michael Boley and Lawyer Milloy),2.590,3.120
1,8:34,2,2,ATL 37,7,0,Vince Young pass complete short left to Roydell Williams for 4 yards (tackle by Chris Houston),3.120,3.380
1,7:52,1,10,ATL 33,7,0,Vince Young pass complete short right to Ben Troupe for 9 yards (tackle by Michael Boley),3.380,4.050
1,7:19,2,1,ATL 24,7,0,"LenDale White up the middle for 3 yards. Penalty on John Abraham: Defensive Offside, 5 yards (no play)",4.050,4.310
1,6:54,1,10,ATL 19,7,0,Vince Young pass complete short right to Brandon Jones for 16 yards (tackle by DeAngelo Hall),4.310,6.510
1,6:20,,,,7,0,Timeout #2 by Atlanta Falcons,0.000,6.510
1,6:20,1,3,ATL 3,7,6,"Chris Brown left tackle for 3 yards, touchdown",6.510,7.000
1,,,,ATL 2,7,7,Rob Bironas kicks extra point good,0.000,0.000
1,,,,TEN 30,7,7,"Rob Bironas kicks off 78 yards, touchback",0.000,0.280
1,6:15,1,10,ATL 20,7,7,Joey Harrington sacked by Antwan Odom for -8 yards,0.280,-1.360
1,5:37,2,18,ATL 12,7,7,Jerious Norwood left tackle for no gain (tackle by Kyle Vanden Bosch and Tony Brown),-1.360,-2.360
1,4:59,3,18,ATL 12,7,7,Joey Harrington pass complete short left to Laurent Robinson for 5 yards (tackle by Cortland Finnegan),-2.360,-2.320
1,4:25,4,13,ATL 17,7,7,"Michael Koenen punts 38 yards. Penalty on Michael Griffin: Unnecessary Roughness, 15 yards",-2.320,-0.940
1,4:16,1,10,TEN 30,7,7,Chris Brown right tackle for 5 yards (tackle by Grady Jackson and Michael Boley),0.940,1.070
1,3:40,2,5,TEN 35,7,7,Chris Brown up the middle for 4 yards (tackle by Michael Boley),1.070,0.890
1,2:54,,,,7,7,Timeout #1 by Tennessee Titans,0.000,0.890
1,2:54,3,1,TEN 39,7,7,Vince Young up the middle for 1 yard (tackle by Trey Lewis),0.890,1.600
1,2:17,1,10,TEN 40,7,7,Chris Brown right tackle for 4 yards (tackle by Trey Lewis),1.600,1.590
1,1:34,2,6,TEN 44,7,7,Vince Young pass complete short left to Eric Moulds for 5 yards (tackle by Chris Houston),1.590,1.550
1,0:51,3,1,TEN 49,7,7,LenDale White right guard for 2 yards (tackle by Jamaal Anderson),1.550,2.320
1,0:08,1,10,ATL 49,7,7,Vince Young pass incomplete deep left intended for Bo Scaife is intercepted by Michael Boley at ATL-24,2.320,-0.540
Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 24,7,7,Warrick Dunn up the middle for -4 yards (tackle by Albert Haynesworth),0.540,-0.540
2,14:25,2,14,ATL 20,7,7,Joey Harrington pass incomplete short middle intended for Michael Jenkins,-0.540,-1.220
2,14:23,3,14,ATL 20,7,7,Joey Harrington pass complete short left to Warrick Dunn for 9 yards (tackle by Keith Bulluck). Penalty on Roddy White: Offensive Holding (Declined),-1.220,-1.440
2,13:57,4,5,ATL 29,7,7,Artose Pinner up the middle for 49 yards (tackle by Chris Davis),-1.440,4.110
2,13:18,1,10,TEN 22,7,7,Warrick Dunn up the middle for 3 yards (tackle by Calvin Lowry),4.110,3.970
2,12:35,2,7,TEN 19,7,7,Joey Harrington pass complete short middle to Martrez Milner for 5 yards (tackle by Keith Bulluck),3.970,4.150
2,11:59,3,2,TEN 14,7,7,Warrick Dunn right guard for no gain (tackle by Albert Haynesworth),4.150,2.630
2,11:19,4,2,TEN 14,10,7,Morten Andersen 32 yard field goal good,2.630,3.000
2,,,,ATL 30,10,7,"Michael Koenen kicks off 65 yards, returned by Michael Griffin for 18 yards (tackle by Marcus Wilkins)",0.000,0.480
2,11:07,1,10,TEN 23,10,7,Vince Young up the middle for no gain (tackle by Trey Lewis and Jamaal Anderson),0.480,-0.070
