Unnamed: 0,CHI,DET
First Downs,24,26
Rush-Yds-TDs,31-91-2,32-155-0
Cmp-Att-Yd-TD-INT,26-41-353-1-1,27-42-405-4-1
Sacked-Yards,1-0,2-14
Net Pass Yards,353,391
Total Yards,444,546
Fumbles-Lost,1-0,3-2
Turnovers,1,3
Penalties-Yards,9-76,10-98
Third Down Conv.,6-14,9-17
Fourth Down Conv.,0-0,1-1
Time of Possession,33:34,38:57
