Quarter,Time,Tm,Detail,CHI,DET
1,9:29,Lions,Lance Moore 20 yard pass from Matthew Stafford (Matt Prater kick),0,7
,4:48,Bears,Robbie Gould 27 yard field goal,3,7
2,12:48,Bears,Jeremy Langford 1 yard rush (Robbie Gould kick),10,7
,9:17,Lions,Tim Wright 8 yard pass from Matthew Stafford (Matt Prater kick),10,14
,4:50,Bears,Robbie Gould 23 yard field goal,13,14
,0:53,Lions,Golden Tate 2 yard pass from Matthew Stafford (Matt Prater kick),13,21
3,5:12,Bears,Robbie Gould 38 yard field goal,16,21
,1:05,Lions,Matt Prater 39 yard field goal,16,24
4,12:27,Bears,Alshon Jeffery 11 yard pass from Jay Cutler (Robbie Gould kick),23,24
,7:50,Bears,Matt Forte 2 yard rush (Matt Forte pass from Jay Cutler),31,24
,2:46,Lions,Matt Prater 32 yard field goal,31,27
,0:21,Lions,Calvin Johnson 6 yard pass from Matthew Stafford (Matt Prater kick),31,34
,0:00,Bears,Robbie Gould 29 yard field goal,34,34
OT,2:29,Lions,Matt Prater 27 yard field goal,34,37
