Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYJ 25,0,0,Elijah McGuire right end for -1 yards (tackle by D.J. Reader and Johnathan Joseph),0.610,-0.070
1,14:19,2,11,NYJ 24,0,0,Elijah McGuire left guard for -1 yards (tackle by Jadeveon Clowney),-0.070,-0.890
1,13:43,3,12,NYJ 23,0,0,Sam Darnold sacked by J.J. Watt for -10 yards,-0.890,-2.490
1,13:02,4,22,NYJ 13,0,0,"Lac Edwards punts 44 yards, returned by DeAndre Carter for -2 yards (tackle by Trenton Cannon)",-2.490,-1.660
1,12:54,1,10,HOU 41,0,0,Lamar Miller up the middle for 5 yards (tackle by Steve McLendon),1.660,1.800
1,12:26,2,5,HOU 46,0,0,Deshaun Watson right end for 24 yards (tackle by Darryl Roberts),1.800,3.580
1,11:57,1,10,NYJ 30,0,0,Deshaun Watson pass incomplete short right intended for DeAndre Carter,3.580,3.030
1,11:52,2,10,NYJ 30,0,0,Deshaun Watson pass complete deep right to DeAndre Hopkins for 18 yards (tackle by Trumaine Johnson),3.030,4.780
1,11:22,1,10,NYJ 12,0,0,Lamar Miller left tackle for 2 yards (tackle by Mike Pennel),4.780,4.450
1,10:50,2,8,NYJ 10,0,0,Lamar Miller right guard for 1 yard (tackle by Henry Anderson and Neville Hewitt),4.450,3.700
1,10:15,3,7,NYJ 9,0,0,Deshaun Watson sacked by Henry Anderson for -13 yards,3.700,1.990
1,9:27,4,20,NYJ 22,3,0,Ka'imi Fairbairn 41 yard field goal good,1.990,3.000
1,9:23,,,HOU 35,3,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,9:23,1,10,NYJ 25,3,0,"Sam Darnold pass incomplete short right. Penalty on Jadeveon Clowney: Roughing the Passer, 15 yards (no play)",0.610,1.600
1,9:17,1,10,NYJ 40,3,0,Elijah McGuire right guard for 5 yards (tackle by Tyrann Mathieu and Justin Reid),1.600,1.730
1,8:37,2,5,NYJ 45,3,0,Sam Darnold up the middle for 7 yards (tackle by Justin Reid),1.730,2.390
1,7:59,1,10,HOU 48,3,0,Elijah McGuire up the middle for 3 yards (tackle by Zach Cunningham and J.J. Watt),2.390,2.250
1,7:19,2,7,HOU 45,3,0,Sam Darnold pass incomplete deep right intended for Robby Anderson,2.250,1.550
1,7:12,3,7,HOU 45,3,0,Sam Darnold pass complete short right to Rishard Matthews for 7 yards,1.550,3.050
1,6:37,1,10,HOU 38,3,0,Elijah McGuire right guard for 3 yards (tackle by Benardrick McKinney),3.050,2.910
1,5:57,2,7,HOU 35,3,0,Elijah McGuire right end for -1 yards (tackle by Benardrick McKinney and Johnathan Joseph),2.910,2.080
1,5:57,3,8,HOU 36,3,0,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (no play)",2.080,2.740
1,4:51,3,3,HOU 31,3,0,Sam Darnold pass complete short right to Robby Anderson for 7 yards (tackle by Johnathan Joseph),2.740,3.970
1,4:10,1,10,HOU 24,3,0,"Elijah McGuire left end for no gain. Penalty on Dakota Dozier: Offensive Holding, 10 yards (no play)",3.970,3.310
1,3:41,1,20,HOU 34,3,0,Sam Darnold pass complete deep left to Robby Anderson for 18 yards (tackle by Kareem Jackson),3.310,4.650
1,2:59,2,2,HOU 16,3,0,"Sam Darnold pass incomplete short middle intended for Robby Anderson (defended by Justin Reid). Penalty on Kareem Jackson: Defensive Holding, 5 yards (no play)",4.650,4.840
1,2:51,1,10,HOU 11,3,0,Elijah McGuire right guard for 3 yards (tackle by Johnathan Joseph),4.840,4.700
1,2:13,2,7,HOU 8,3,0,Sam Darnold pass incomplete short middle,4.700,3.760
1,2:09,3,7,HOU 8,3,0,Sam Darnold pass incomplete short middle intended for Jermaine Kearse,3.760,2.960
1,2:04,4,7,HOU 8,3,3,Jason Myers 26 yard field goal good,2.960,3.000
1,2:01,,,NYJ 35,3,3,"Jason Myers kicks off 67 yards, returned by DeAndre Carter for no gain (tackle by Tarell Basham)",0.000,0.670
1,1:56,1,10,HOU 26,3,3,Deshaun Watson pass complete short middle to Jordan Thomas for 2 yards (tackle by Avery Williamson),0.670,0.400
1,1:26,,,,,,Timeout #1 by New York Jets,,
1,1:26,2,8,HOU 28,3,3,Deshaun Watson pass complete deep right to DeAndre Hopkins for 27 yards (tackle by Trumaine Johnson),0.400,2.590
1,0:55,1,10,NYJ 45,3,3,Deshaun Watson pass complete short left to DeAndre Hopkins for 11 yards (tackle by Morris Claiborne),2.590,3.310
1,0:26,1,10,NYJ 34,3,3,"Deshaun Watson sacked by Brandon Copeland for no gain. Penalty on Avery Williamson: Defensive Holding, 5 yards (no play)",3.310,3.640
1,0:07,1,10,NYJ 29,3,3,Deshaun Watson pass complete short left to DeAndre Carter for 5 yards (tackle by Morris Claiborne),3.640,3.780
Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,NYJ 24,3,3,Deshaun Watson pass incomplete short middle intended for Demaryius Thomas,3.780,3.070
2,14:56,3,5,NYJ 24,3,3,Deshaun Watson pass complete short right to DeAndre Hopkins for 7 yards (tackle by Trumaine Johnson),3.070,4.440
2,14:23,1,10,NYJ 17,3,3,Alfred Blue up the middle for no gain (tackle by Brandon Copeland and Leonard Williams),4.440,3.850
2,13:45,2,10,NYJ 17,3,3,Deshaun Watson pass complete short middle to Alfred Blue for 3 yards (tackle by Avery Williamson and Neville Hewitt),3.850,3.500
2,13:01,3,7,NYJ 14,3,3,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins (defended by Morris Claiborne),3.500,2.510
2,12:54,4,7,NYJ 14,6,3,Ka'imi Fairbairn 32 yard field goal good,2.510,3.000
2,12:51,,,HOU 35,6,3,"Ka'imi Fairbairn kicks off 67 yards, returned by Andre Roberts for no gain (tackle by Gregory Howell)",0.000,0.610
2,12:46,1,10,NYJ 25,6,3,Sam Darnold pass complete short right to Trenton Cannon for 8 yards (tackle by Benardrick McKinney and Brandon Dunn),0.610,1.140
2,12:10,2,2,NYJ 33,6,3,Trenton Cannon right guard for 2 yards (tackle by Angelo Blackson and Zach Cunningham),1.140,1.270
2,11:26,1,10,NYJ 35,6,3,Sam Darnold pass complete short right to Trenton Cannon for 6 yards (tackle by Johnathan Joseph),1.270,1.530
2,10:47,2,4,NYJ 41,6,3,Sam Darnold pass incomplete short right intended for Jermaine Kearse,1.530,0.830
2,10:42,3,4,NYJ 41,6,3,Sam Darnold pass complete short left to Trenton Cannon for 10 yards (tackle by Benardrick McKinney and Shareece Wright),0.830,2.320
2,10:00,1,10,HOU 49,6,3,"Elijah McGuire left tackle for 3 yards (tackle by Kareem Jackson). Penalty on Robby Anderson: Illegal Block Above the Waist, 10 yards",2.320,1.860
2,9:32,1,17,NYJ 44,6,3,"Sam Darnold pass complete short left to Eric Tomlinson for 11 yards (tackle by Whitney Mercilus). Penalty on Chris Herndon: Illegal Block Above the Waist, 10 yards",1.860,1.930
2,9:01,1,16,NYJ 45,6,3,"Elijah McGuire up the middle for no gain (tackle by J.J. Watt). Elijah McGuire fumbles (forced by J.J. Watt), recovered by Angelo Blackson at NYJ-46 (tackle by Brian Winters)",1.930,-2.520
2,8:54,1,10,NYJ 46,6,3,Alfred Blue left end for 1 yard (tackle by Mike Pennel),2.520,2.110
2,8:22,2,9,NYJ 45,12,3,"Deshaun Watson pass complete deep middle to DeAndre Hopkins for 45 yards, touchdown",2.110,7.000
2,8:14,,,NYJ 15,13,3,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,8:14,,,HOU 35,13,3,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,8:14,1,10,NYJ 25,13,3,Trenton Cannon up the middle for 1 yard (tackle by D.J. Reader and Zach Cunningham),0.610,0.200
2,7:39,2,9,NYJ 26,13,3,Sam Darnold pass complete short right to Jermaine Kearse for 4 yards (tackle by Tyrann Mathieu),0.200,0.040
2,6:56,3,5,NYJ 30,13,3,Sam Darnold pass incomplete deep right intended for Andre Roberts,0.040,-1.370
2,6:52,4,5,NYJ 30,13,3,"Lac Edwards punts 54 yards, returned by DeAndre Carter for 15 yards (tackle by Eric Tomlinson)",-1.370,-1.000
2,6:40,1,10,HOU 31,13,3,Deshaun Watson pass complete short right to Demaryius Thomas for 27 yards (tackle by Darryl Roberts),1.000,2.790
2,6:04,1,10,NYJ 42,13,3,DeAndre Carter right end for 7 yards (tackle by Steve McLendon and Leonard Williams),2.790,3.190
2,5:28,,,,,,Timeout #2 by New York Jets,,
2,5:28,2,3,NYJ 35,13,3,Alfred Blue up the middle for no gain (tackle by Brandon Copeland and Avery Williamson),3.190,2.480
2,4:49,3,3,NYJ 35,13,3,Deshaun Watson pass incomplete deep right Penalty on HOU: Illegal Shift (Declined),2.480,0.990
2,4:39,4,3,NYJ 35,16,3,Ka'imi Fairbairn 53 yard field goal good,0.990,3.000
2,4:35,,,HOU 35,16,3,"Ka'imi Fairbairn kicks off 62 yards, returned by Andre Roberts for no gain (tackle by Gregory Howell)",0.000,-0.060
2,4:30,1,10,NYJ 17,16,3,Elijah McGuire up the middle for 6 yards (tackle by Andre Hal and Zach Cunningham),-0.060,0.350
