Unnamed: 0,SEA,MIA
First Downs,21,20
Rush-Yds-TDs,23-126-0,27-155-2
Cmp-Att-Yd-TD-INT,21-38-185-1-0,22-36-209-1-1
Sacked-Yards,3-13,2-3
Net Pass Yards,172,206
Total Yards,298,361
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,5-25,4-29
Third Down Conv.,7-15,7-15
Fourth Down Conv.,0-1,2-2
Time of Possession,28:07,31:53
